player_name,player_team_id,player_position_id,rank_ecr,pos_rank,projected_points
Derius Davis,LAC,WR,135,WR135,1.2
Jalen Brooks,DAL,WR,136,WR136,1.1
Nick Westbrook-Ikhine,TEN,WR,137,WR137,1.1
Charlie Jones,CIN,WR,138,WR138,1.1
Johnny Wilson,PHI,WR,139,WR139,1.0
Bub Means,NO,WR,140,WR140,1.0
Isaiah Williams,DET,WR,141,WR141,0.9
Chris Moore,ARI,WR,142,WR142,0.7
Devin Duvernay,JAC,WR,143,WR143,0.7
Zach Pascal,ARI,WR,144,WR144,0.7
Scotty Miller,PIT,WR,145,WR145,0.7
Ashton Dulin,IND,WR,146,WR146,0.6
Velus Jones Jr.,CHI,WR,147,WR147,0.6
Jamison Crowder,WAS,WR,148,WR148,0.6
Tim Patrick,DET,WR,149,WR149,0.6
Casey Washington,ATL,WR,150,WR150,0.6
Deonte Harty,BAL,WR,151,WR151,0.6
Trent Sherfield Sr.,MIN,WR,152,WR152,0.6
Anthony Gould,IND,WR,153,WR153,0.6
Ryan Flournoy,DAL,WR,154,WR154,0.5
DJ Turner,LV,WR,155,WR155,0.5
Kayshon Boutte,NE,WR,156,WR156,0.5
Tylan Wallace,BAL,WR,157,WR157,0.5
Ronnie Bell,SF,WR,158,WR158,0.5
Laviska Shenault Jr.,SEA,WR,159,WR159,0.5
Xavier Hutchinson,HOU,WR,160,WR160,0.5
David Moore,CAR,WR,161,WR161,0.5
Jamari Thrash,CLE,WR,162,WR162,0.4
Chris Conley,SF,WR,163,WR163,0.4
Grant DuBose,MIA,WR,164,WR164,0.4
Trishton Jackson,MIN,WR,165,WR165,0.4
DeAndre Carter,CHI,WR,166,WR166,0.4
Kameron Johnson,TB,WR,167,WR167,0.3
Zay Jones,ARI,WR,168,WR168,0.3
Bryce Ford-Wheaton,NYG,WR,169,WR169,0.3
Simi Fehoko,LAC,WR,170,WR170,0.3
Donovan Peoples-Jones,DET,WR,171,WR171,0.3
Parris Campbell,PHI,WR,172,WR172,0.3
David Bell,FA,WR,173,WR173,0.3
Ramel Keyton,LV,WR,174,WR174,0.3
Byron Pringle,FA,WR,175,WR175,0.3
Gunner Olszewski,NYG,WR,176,WR176,0.3
Kadarius Toney,FA,WR,177,WR177,0.3
Jha'Quan Jackson,TEN,WR,178,WR178,0.3
Tim Jones,JAC,WR,179,WR179,0.2
Steven Sims Jr.,HOU,WR,180,WR180,0.2
Tyler Johnson,LAR,WR,181,WR181,0.2
Dareke Young,SEA,WR,182,WR182,0.2
Britain Covey,PHI,WR,183,WR183,0.2
Jordan Matthews,CAR,WR,184,WR184,0.1
Irvin Charles,NYJ,WR,185,WR185,0.1
Rysen John,FA,WR,186,WR186,0.1
Brandon Johnson,PIT,WR,187,WR187,0.1
Mason Tipton,NO,WR,188,WR188,0.1
Lil'Jordan Humphrey,DEN,WR,189,WR189,0.1
Jason Brownlee,NYJ,WR,190,WR190,0.1
Allen Robinson II,DET,WR,191,WR191,0.1
Jalen Guyton,LV,WR,192,WR192,0.1
John Stephens Jr.,DAL,WR,193,WR193,0.1
Justyn Ross,KC,WR,194,WR194,0.1
D.J. Montgomery,IND,WR,195,WR195,0.1
Jalen Reagor,NE,WR,196,WR196,0.1
Samori Toure,CHI,WR,197,WR197,0.1
Robbie Chosen,MIA,WR,198,WR198,0.1
Xavier Weaver,ARI,WR,199,WR199,0.1
Equanimeous St. Brown,NO,WR,200,WR200,0.1
Sterling Shepard,TB,WR,201,WR201,0.1
Elijah Cooks,JAC,WR,202,WR202,0.1
Dee Eskridge,MIA,WR,203,WR203,0.0
Trent Taylor,SF,WR,204,WR204,0.0
Collin Johnson,CHI,WR,205,WR205,0.0
Sam LaPorta,DET,TE,1,TE1,15.0
Travis Kelce,KC,TE,2,TE2,14.4
Trey McBride,ARI,TE,3,TE3,12.9
Dalton Kincaid,BUF,TE,4,TE4,12.9
Mark Andrews,BAL,TE,5,TE5,12.8
Evan Engram,JAC,TE,6,TE6,12.6
Kyle Pitts,ATL,TE,7,TE7,12.0
George Kittle,SF,TE,8,TE8,11.1
David Njoku,CLE,TE,9,TE9,11.1
Jake Ferguson,DAL,TE,10,TE10,10.7
Dallas Goedert,PHI,TE,11,TE11,10.3
Brock Bowers,LV,TE,12,TE12,9.7
Dalton Schultz,HOU,TE,13,TE13,9.3
Pat Freiermuth,PIT,TE,14,TE14,8.3
Hunter Henry,NE,TE,15,TE15,7.8
Taysom Hill,NO,TE,16,TE16,7.7
Tyler Conklin,NYJ,TE,17,TE17,7.7
Cade Otton,TB,TE,18,TE18,7.7
Cole Kmet,CHI,TE,19,TE19,7.6
Luke Musgrave,GB,TE,20,TE20,7.5
Noah Fant,SEA,TE,21,TE21,7.3
Jonnu Smith,MIA,TE,22,TE22,7.1
Colby Parkinson,LAR,TE,23,TE23,6.9
Juwan Johnson,NO,TE,24,TE24,6.9
Zach Ertz,WAS,TE,25,TE25,6.7
Greg Dulcich,DEN,TE,26,TE26,6.1
Chig Okonkwo,TEN,TE,27,TE27,6.1
Isaiah Likely,BAL,TE,28,TE28,5.8
Mike Gesicki,CIN,TE,29,TE29,5.5
Tucker Kraft,GB,TE,30,TE30,5.1
Michael Mayer,LV,TE,31,TE31,5.1
Ben Sinnott,WAS,TE,32,TE32,5.0
Dawson Knox,BUF,TE,33,TE33,4.8
Ja'Tavion Sanders,CAR,TE,34,TE34,4.8
Gerald Everett,CHI,TE,35,TE35,4.8
Hayden Hurst,LAC,TE,36,TE36,4.8
Kylen Granson,IND,TE,37,TE37,4.7
Johnny Mundt,MIN,TE,38,TE38,4.5
Theo Johnson,NYG,TE,39,TE39,4.1
Daniel Bellinger,NYG,TE,40,TE40,4.1
Will Dissly,LAC,TE,41,TE41,3.9
Josh Oliver,MIN,TE,42,TE42,3.8
Noah Gray,KC,TE,43,TE43,3.8
Austin Hooper,NE,TE,44,TE44,3.2
Tanner Hudson,CIN,TE,45,TE45,3.0
Adam Trautman,DEN,TE,46,TE46,2.9
Mo Alie-Cox,IND,TE,47,TE47,2.9
Foster Moreau,NO,TE,48,TE48,2.8
Josh Whyle,TEN,TE,49,TE49,2.8
Darnell Washington,PIT,TE,50,TE50,2.8
Jeremy Ruckert,NYJ,TE,51,TE51,2.4
Durham Smythe,MIA,TE,52,TE52,2.4
Brevin Jordan,HOU,TE,53,TE53,2.1
Davis Allen,LAR,TE,54,TE54,2.1
Will Mallory,IND,TE,55,TE55,2.0
Drew Sample,CIN,TE,56,TE56,2.0
Brock Wright,DET,TE,57,TE57,2.0
Elijah Higgins,ARI,TE,58,TE58,2.0
Luke Schoonmaker,DAL,TE,59,TE59,2.0
Jordan Akins,CLE,TE,60,TE60,1.9
Lucas Krull,DEN,TE,61,TE61,1.8
Cade Stover,HOU,TE,62,TE62,1.7
John Bates,WAS,TE,63,TE63,1.7
Drew Ogletree,IND,TE,64,TE64,1.7
Tommy Tremble,CAR,TE,65,TE65,1.6
Erick All Jr.,CIN,TE,66,TE66,1.6
Connor Heyward,PIT,TE,67,TE67,1.6
Tip Reiman,ARI,TE,68,TE68,1.5
Charlie Woerner,ATL,TE,69,TE69,1.5
Stone Smartt,LAC,TE,70,TE70,1.4
Luke Farrell,JAC,TE,71,TE71,1.2
Payne Durham,TB,TE,72,TE72,1.1
Grant Calcaterra,PHI,TE,73,TE73,1.1
Brenton Strange,JAC,TE,74,TE74,1.1
Julian Hill,MIA,TE,75,TE75,1.0
Chris Manhertz,NYG,TE,76,TE76,1.0
Harrison Bryant,LV,TE,77,TE77,1.0
Jaheim Bell,NE,TE,78,TE78,1.0
Pharaoh Brown,SEA,TE,79,TE79,1.0
Jared Wiley,KC,TE,80,TE80,1.0
AJ Barner,SEA,TE,81,TE81,1.0
Hunter Long,LAR,TE,82,TE82,1.0
MyCole Pruitt,PIT,TE,83,TE83,0.9
Charlie Kolar,BAL,TE,84,TE84,0.9
Jake Tonges,SF,TE,85,TE85,0.9
Eric Saubert,SF,TE,86,TE86,0.8
Nate Adkins,DEN,TE,87,TE87,0.8
Ben Sims,GB,TE,88,TE88,0.8
Ian Thomas,CAR,TE,89,TE89,0.8
Nick Muse,MIN,TE,90,TE90,0.7
Ross Dwelley,ATL,TE,91,TE91,0.7
Ko Kieft,TB,TE,92,TE92,0.7
Marcedes Lewis,CHI,TE,93,TE93,0.7
Brady Russell,SEA,TE,94,TE94,0.6
Robert Tonyan,MIN,TE,95,TE95,0.6
Quintin Morris,BUF,TE,96,TE96,0.6
Brenden Bates,NYJ,TE,97,TE97,0.6
Parker Hesse,DET,TE,98,TE98,0.6
Nick Vannett,TEN,TE,99,TE99,0.6
Donald Parham Jr.,DEN,TE,100,TE100,0.5
Devin Culp,TB,TE,101,TE101,0.4
Brevyn Spann-Ford,DAL,TE,102,TE102,0.3
Irv Smith Jr.,FA,TE,103,TE103,0.3
Thomas Odukoya,TEN,TE,104,TE104,0.2
