player_name,player_position_id,rank_ecr,note,tag,recommendation,pos_rank,projected_points,salary
jaredgoff,QB,12,"Goff has been playing outstanding football. He's fifth in passing grade, third in yards per attempt, and second in adjusted completion rate. Goff is also tenth in fantasy points per dropback. He started balling out down the stretch last season and has continued to play well into the 2023 season. After demolishing rookie Bryce Young in Week 1, the Falcons faced Jordan Love last week. Against Love, they finished the week with the fifth-lowest passer rating, fifth-lowest yards per attempt, and third-lowest adjusted completion rate allowed. Atlanta's pass defense looks legit, also ranking eighth-best in pressure rate. Goff should have plenty of time to find open receivers, as his offensive line has allowed him to face the seventh-lowest pressure rate. Goff should post a solid stat line here but don't expect a ceiling performance. Week 3 Positional Value: low-end QB1/high-end QB2",start,,QB12,17.3,6500.0
genosmith,QB,13,"After a rough outing in Week 1, Chef Geno rebounded with a QB8 outing in Week 2. Smith looks like the player who stole our hearts in 2022. He's 12th in passing grade, first in adjusted completion rate, and seventh in passer rating. As good as those numbers are, this is a week to consider sitting him, depending on your options. Carolina has been tough against quarterbacks, holding them to the fifth-fewest fantasy points per game. The Panthers' secondary has also held passers to the 13th-lowest yards per attempt, the tenth-lowest passer rating, and the 12th-lowest CPOE on deep passes. Week 3 Positional Value: QB2",sit,,QB13,17.1,5700.0
russellwilson,QB,15,"Wilson looks like he might be back and ready to cook. He's 11th in yards per attempt, eighth in big-time throw rate, and tenth in adjusted completion rate. Wilson is the QB5 in fantasy. Let that sink in. Wilson is a top-five quarterback in fantasy right now. We'll see if Wilson can keep the train rolling against a middle-of-the-road Dolphins' pass defense. Miami is 15th in passer rating and 16th in adjusted completion rate allowed. The Dolphins have been getting after the passer, though. Wilson should have plenty of time in the pocket against a Miami pass rush that's logged the seventh-lowest pressure rate. This is despite their front blitzing at the tenth-highest rate. Wilson has been solid against the blitz this season, ranking 13th in passing grade, tenth in yards per attempt, and fourth in adjusted completion rate. Week 3 Positional Value: Borderline QB1",start,,QB15,16.4,5900.0
jordanlove,QB,19,"The perception of Love's quarterbacking has been puffed up by an unsustainable touchdown run out. Love is tied for first in passing touchdowns (six) despite ranking 28th in passing attempts. This will come back to earth, and it probably starts this week. Love's efficiency metrics are ghastly. He's 26th in passing grade with the tenth-lowest big-time throw rate and the lowest adjusted completion rate in the NFL (minimum 20 dropbacks). New Orleans is a defense to be reckoned with. They have held passers to the fourth-lowest yards per attempt, second-lowest passer rating, and third-lowest adjusted completion rate. Quarterbacks average only eight fantasy points per game against New Orleans (fourth-lowest). Week 3 Positional Value: Worrisome QB2",sit,,QB19,15.2,5600.0
derekcarr,QB,21,"Carr's play has been a rollercoaster through two weeks as he settles in. Carr is fifth in yards per attempt and fourth in big-time throw rate, but he's also 20th in passing grade and 30th in adjusted completion rate as he tries to get on the same page with his receivers. Green Bay hasn't been a pushover pass defense, ranking 18th in yards per attempt while holding passers to the seventh-lowest passer rating, but they can be beat deep. The Packers have allowed the second-highest passer rating and third-highest adjusted completion rating to deep passes. This matches up perfectly with their struggles to defend the deep ball in 2022. Last season, Green Bay gave up the tenth-highest passer rating and fourth-highest adjusted completion rate to deep passes. Carr has been hyper-aggressive, letting it rip downfield. He leads all quarterbacks in deep ball rate and deep pass attempts. Week 3 Positional Value: QB2 with QB1 upside if he connects on the deep balls",,,QB21,14.9,5500.0
samhowell,QB,23,"Howell has played well this season. While he's 21st in passing grade, all of his other metrics are promising. He's 12th-best in yards per attempt, fourth-best in adjusted completion rate, and he has the 13th-highest fantasy points per dropback. The Bills' pass defense has been a mixed bag, with the fifth-lowest passer rating allowed but also the 11th-highest yards per attempt and fourth-highest adjusted completion rate given up. Their pass rush has been quite good, ranking 12th in pressure rate despite blitzing at the league's lowest rate. Howell has played fairly well against pressure, ranking tenth in yards per attempt, third in adjusted completion rate, and 18th in aDOT. The slow pace of this game could limit scoring drives, but this game has sneaky shootout possibilities. Week 3 Positional Value: mid-QB2 with QB1 upside",,,QB23,14.6,5400.0
c.j.stroud,QB,24,"Stroud is learning on the job, which shows in his numbers. He's 25th in passing grade, 23rd in adjusted completion rate, and 16th in yards per attempt. Stroud could have a sneaky good day in Week 3. The Jaguars are 16th in yards per attempt, allowing the 13th-lowest passer rating and the seventh-lowest adjusted completion rate. These numbers look scary, but we also have to remind ourselves that they faced Anthony Richardson in his first career start and a ""struggling"" Patrick Mahomes, who has yet to get on the same page with his receivers. This is the same pass defense that last year allowed the fourth-most passing touchdowns and ranked 15th in adjusted completion rate. Last season, Jacksonville also struggled against the deep ball, giving up the second-highest passer rating and fourth-most deep passing touchdowns. What could throw a wrench in that is if Jacksonville's pass rush can get home. They are sixth in pressure rate. Stroud hasn't been good against pressure, with the 18th-lowest adjusted completion rate and second-lowest passing grade against pressure. Week 3 Positional Value: QB2",sit,,QB24,14.3,5300.0
desmondridder,QB,26,"Ridder has been a replacement-level quarterback so far. With two games under his belt, he has the second-worst passing grade, highest turnover-worthy play rate, and seventh-lowest aDOT. He also has the fourth-lowest deep passing grade and tenth-lowest deep passer rating. His ten rushing attempts (39 rushing yards) last week and rushing score saved his fantasy day. In his six NFL starts, that is only his second game with more than ten rushing yards, so I wouldn't count on the rushing production as a consistent weekly aid. Detroit is 11th in passer rating, 14th in yards per attempt, and has allowed the sixth-highest adjusted completion rate. Their pass defense is still finding its way, but their pass rush is in midseason form, ranking fifth in pressure rate. Ridder has crumbled under pressure with the sixth-lowest adjusted completion rate and fifth-lowest yards per attempt. Week 3 Positional Value: Low-end QB2",,,QB26,13.9,5000.0
macjones,QB,27,"Jones turned back into a pumpkin. Through two games, he ranks 14th in passing grade, 18th in adjusted completion rate, and has the fourth-lowest yards per attempt. Among 33 qualifying quarterbacks, he is 25th in fantasy points per dropback. Jones has averaged 220 passing yards with 7.0 yards per attempt in his last two meetings against the Jets with QB21 and QB23 weekly finishes. The Jets have allowed the ninth-lowest yards per attempt and the 14th-fewest fantasy points to quarterbacks. Week 3 Positional Value: low-end QB2",,,QB27,13.6,5300.0
ryantannehill,QB,28,"Will the real Ryan Tannehill please stand up? After a rough Week 1, he rebounded dramatically last week. Tannehill was first in passing grade, first in yards per attempt, and first in adjusted completion rate as the QB15 in fantasy. We'll see if Tannehill can stack back-to-back fantastic games against a Browns' defense that looks legit. Cleveland has allowed the second-lowest yards per attempt, third-lowest passer rating, and the lowest adjusted completion rate. The Browns also have the eighth-best pressure rate. Tannehill won't have much time in the pocket in Week 3. Week 3 Positional Value: low-end QB2",,,QB28,13.3,5000.0
gardnerminshew,QB,29,,,,QB29,13.1,5100.0
joshuadobbs,QB,30,"Dobbs doesn't have a chance this week against the Cowboys. Sit Dobbs even in Superflex formats. Dallas is a defensive juggernaut. They have the highest pressure rate in the NFL. Their pass defense has allowed the third-lowest yards per attempt, the lowest passer rating, and the fourth-lowest adjusted completion rate. Week 3 Positional Value: Must sit in all formats",,,QB30,12.8,5100.0
zachwilson,QB,31,"Wilson has been playing like...Zach Wilson. He's fourth-lowest in passing grade, tenth-lowest in yards per attempt, and has the eighth-lowest fantasy points per dropback. In his last two starts against New England, he has completed 46.0% of his passes with 6.8 yards per attempt. The Patriots' defense hasn't looked imposing, ranking 14th in yards per attempt, 16th in passer rating, and sixth-lowest in pressure rate. This is after facing Jalen Hurts and Tua Tagovailoa, though take it with a grain of salt. Wilson isn't close to being in the same area code as those other two quarterbacks. Week 3 Positional Value: Basement-level QB2",,,QB31,12.6,4900.0
andydalton,QB,32,,,,QB32,12.1,4900.0
claytontune,QB,34,,,,QB34,0.5,4500.0
jacobybrissett,QB,35,,,,QB35,0.5,4700.0
taylorheinicke,QB,36,,,,QB36,0.5,4700.0
tonypollard,RB,2,,,,RB2,19.9,8000.0
bijanrobinson,RB,3,,,,RB3,18.3,7800.0
travisetiennejr.,RB,4,,,,RB4,16.6,6900.0
derrickhenry,RB,7,,,,RB7,16.2,7400.0
kennethwalker,RB,8,,,,RB8,16.2,6200.0
jahmyrgibbs,RB,10,,,,RB10,15.0,6600.0
rhamondrestevenson,RB,11,,,,RB11,14.2,6700.0
raheemmostert,RB,12,,,,RB12,13.9,6000.0
jamescook,RB,13,,,,RB13,13.8,6400.0
milessanders,RB,15,,,,RB15,13.5,5700.0
joshuakelley,RB,16,,,,RB16,13.4,5400.0
alexandermattison,RB,17,,,,RB17,13.3,5800.0
brianrobinsonjr.,RB,19,,,,RB19,12.8,5800.0
jamesconner,RB,20,,,,RB20,12.6,6300.0
zackmoss,RB,22,,,,RB22,12.5,5500.0
isiahpacheco,RB,23,,,,RB23,12.5,5400.0
javontewilliams,RB,24,,,,RB24,12.4,5500.0
jeromeford,RB,25,,,,RB25,12.0,4800.0
breecehall,RB,26,,,,RB26,11.5,5600.0
dameonpierce,RB,27,,,,RB27,11.5,5200.0
aaronjones,RB,28,,,,RB28,11.3,6800.0
gusedwards,RB,29,,,,RB29,10.9,5300.0
tylerallgeier,RB,30,,,,RB30,10.9,5100.0
ajdillon,RB,32,,,,RB32,9.9,5700.0
khalilherbert,RB,33,,,,RB33,9.4,5100.0
craigreynolds,RB,35,,,,RB35,8.2,4400.0
roschonjohnson,RB,36,,,,RB36,8.6,4700.0
samajeperine,RB,37,,,,RB37,8.0,4900.0
dalvincook,RB,38,,,,RB38,8.0,5600.0
tonyjonesjr.,RB,39,,,,RB39,7.9,4500.0
jerickmckinnon,RB,40,,,,RB40,7.8,4500.0
kendremiller,RB,41,,,,RB41,7.3,4300.0
antoniogibson,RB,42,,,,RB42,6.9,4700.0
chubahubbard,RB,43,,,,RB43,6.8,5100.0
tyjaespears,RB,44,,,,RB44,6.4,4400.0
ezekielelliott,RB,45,,,,RB45,6.3,5200.0
zachcharbonnet,RB,47,,,,RB47,5.7,4500.0
tankbigsby,RB,49,,,,RB49,5.5,4700.0
lataviusmurray,RB,50,,,,RB50,5.4,4500.0
devinsingletary,RB,51,,,,RB51,5.1,4500.0
damienharris,RB,52,,,,RB52,5.1,4800.0
clydeedwards-helaire,RB,53,,,,RB53,5.0,4100.0
de'vonachane,RB,54,,,,RB54,5.0,5000.0
tychandler,RB,56,,,,RB56,4.7,4300.0
michaelcarter,RB,57,,,,RB57,4.6,4400.0
ricodowdle,RB,58,,,,RB58,4.4,4500.0
deucevaughn,RB,59,,,,RB59,4.3,4400.0
deonjackson,RB,60,,,,RB60,3.9,4500.0
melvingordon,RB,64,,,,RB64,3.6,4400.0
pierrestrongjr.,RB,65,,,,RB65,3.5,4500.0
elijahdotson,RB,66,,,,RB66,3.2,4500.0
deejaydallas,RB,67,,,,RB67,3.2,4000.0
keaontayingram,RB,71,,,,RB71,2.6,4200.0
kareemhunt,RB,72,,,,RB72,2.6,4600.0
zonovanknight,RB,73,,,,RB73,2.6,4000.0
jaleelmclaughlin,RB,75,,,,RB75,2.4,4000.0
d'ernestjohnson,RB,76,,,,RB76,2.3,4700.0
salvonahmed,RB,77,,,,RB77,2.3,4800.0
isaiahspiller,RB,79,,,,RB79,2.1,4000.0
emanuelwilson,RB,80,,,,RB80,2.0,4000.0
adamprentice,RB,84,,,,RB84,1.8,4000.0
tymontgomery,RB,85,,,,RB85,1.8,3300.0
alecingold,RB,86,,,,RB86,1.8,4000.0
emaridemercado,RB,89,,,,RB89,1.4,4000.0
dareogunbowale,RB,90,,,,RB90,1.3,4000.0
chrisrodriguezjr.,RB,91,,,,RB91,1.2,4000.0
davidmontgomery,RB,92,,,,RB92,1.4,5900.0
mylesgaskin,RB,93,,,,RB93,1.1,4400.0
c.j.ham,RB,94,,,,RB94,1.1,4000.0
raheemblackshear,RB,96,,,,RB96,1.0,4000.0
reggiegilliam,RB,98,,,,RB98,0.8,4000.0
patrickricard,RB,99,,,,RB99,0.8,4000.0
cordarrellepatterson,RB,100,,,,RB100,0.8,4500.0
d'ontaforeman,RB,103,,,,RB103,0.8,4600.0
jakefunk,RB,104,,,,RB104,0.7,4000.0
michaelburton,RB,105,,,,RB105,0.7,4000.0
denericprince,RB,106,,,,RB106,0.7,4000.0
dewaynemcbride,RB,107,,,,RB107,0.7,4000.0
mikeboone,RB,109,,,,RB109,0.6,4000.0
juliuschestnut,RB,110,,,,RB110,0.6,4000.0
malikdavis,RB,113,,,,RB113,0.5,4000.0
travishomer,RB,114,,,,RB114,0.5,4000.0
chrisbrooks,RB,115,,,,RB115,0.4,4000.0
khariblasingame,RB,116,,,,RB116,0.4,4000.0
jamycalhasty,RB,117,,,,RB117,0.3,4000.0
keithsmith,RB,118,,,,RB118,0.3,4000.0
hunterluepke,RB,119,,,,RB119,0.3,4000.0
hassanhall,RB,120,,,,RB120,0.3,4000.0
israelabanikanda,RB,121,,,,RB121,0.3,4000.0
tarikcohen,RB,122,,,,RB122,0.0,4000.0
godwinigwebuike,RB,123,,,,RB123,0.0,4000.0
nickbawden,RB,124,,,,RB124,0.0,4000.0
justinjefferson,WR,1,"You are starting Jefferson weekly. The matchup doesn't matter. The opposing defense doesn't matter. Jefferson is unguardable. Plain and simple. He's eighth in Target share, 11th in air-yard share, and fifth in YPRR among wideouts as the WR4 in fantasy. He'll run about 76% of his routes against Asante Samuel (85.7% catch rate and 118.8 passer rating) and J.C. Jackson (46.2% catch rate and 72.0 passer rating). Week 3 Positional Value: WR1 overall",,,WR1,22.4,9300.0
tyreekhill,WR,2,"Week 3 is another week for Hill as the primary weapon against man coverage. Denver has the sixth-most (tied) dropbacks defended in man coverage this season. Against man coverage, Hill has a 32% Target share, 39% TPRR, and 4.1 YPRR. These numbers are astronomical. Insane. Hill will run about 62% of his routes against Pat Surtain (57.1% catch rate and 69.3 passer rating) and Damarri Mathis (88.2% catch rate and 149.9 passer rating). Smash Hill. Smash. Week 3 Positional Value: Top-three WR",,,WR2,21.4,9000.0
ceedeelamb,WR,3,"Lamb leads the team with a 27% Target share and a 36.5% air-yard share as the WR12 in fantasy. Arizona has utilized zone coverage on 61% of their corner's snaps. Lamb last season ranked 14th in receiving grade and seventh in YPRR against zone. Against zone coverage, Lamb leads the team with a 34.2% Target share, and he's second behind only Brandin Cooks (36.4%) in first-read share (34.8%). Lamb will run about 75% of his routes against Jalen Thompson (2022: 68.1% catch rate and 103.2 passer rating in slot coverage). Week 3 Positional Value: Elite WR1",,,WR3,18.7,7700.0
stefondiggs,WR,4,"Diggs is the WR10 in fantasy with a 25.6% Target share (17th-best), a 36.4% air-yard share, and 2.10 YPRR (28th). He has the sixth-highest first-read share among wideouts. Sixth. Best. This is a Diggs domination game in the making. He led the Bills in deep targets last year (35), so if Allen is going deep, look for Diggs to be a part of the equation. Diggs will run about 58% of his routes against Kendall Fuller (57.1% catch rate and 65.8 passer rating) and Emmanuel Forbes (66.7% catch rate and 70.1 passer rating). Week 3 Positional Value: Top-three WR",,,WR4,18.4,8100.0
amon-rast.brown,WR,7," St. Brown didn't practice on Wednesday, but he logged a limited session on Thursday and a full practice on Friday. He's been listed as questionable. I expect him to play right now and handle his usual complement of snaps. An in-game setback is possible, so tread cautiously, but in most formats, if you have him, you're probably forced to start him. St. Brown has a 22.9% Target share while ranking 21st in TPRR and tenth in YPRR among wide receivers. He will run about 50% of his routes against Dee Alford (85.7% catch rate and 138.4 passer rating). Week 3 Positional Value: WR1",,,WR7,17.4,7900.0
keenanallen,WR,8,"I was told in the offseason that Allen was too old and injury-prone to be a WR1 in 2023. After two games, he is the WR6 in fantasy, commanding a 25.7% Target share, a 31.5% air-yard share, and a 29.4% first-read share. Allen is 12th in receiving grade and 17th in YPRR. Against zone coverage, the Chargers have been a two-headed attack with Allen and Mike Williams leading the way, so expect Allen to GET FED here. Allen will run about 60% of his routes against Harrison Smith, who allowed a 76.4% catch rate and 129.0 in slot coverage last season. Week 3 Positional Value: Top-five WR",,,WR8,17.2,7600.0
calvinridley,WR,10,"Ridley has a 24.3% Target share and a 37.5% air-yard share with 2.05 YPRR. He is second on the team with a 25.9% first-read Target share. Some of that is skewed after last week's game when Christian Kirk had 31.3% of his targets on designed plays. Ridley has also been the Jaguars zone coverage go-to leading the team by a substantial margin in Target share, TPRR, and first-read share. Ridley is tied with Zay Jones for the team lead in red zone targets. They are the only receiving options that Lawrence has looked at inside the 20 this season. Ridley will be peppered this week as he runs about 84% of his routes against Steven Nelson (66.7% catch rate and 40.3 passer rating) and Shaquill Griffin (2022: 68.8% catch rate and 125.0 passer rating. Week 3 Positional Value: WR1",,,WR10,16.4,7200.0
chrisolave,WR,13,"Olave leads the team with a 30% Target share and 41.2% air-yard share as the WR15 in fantasy. Olave is fifth in receiving grade and tenth in YPRR among receivers. He should lead the way in attacking the Packers deep this week. He leads the team with six deep targets. His prowess on go routes will also factor in heavily this week. Last season, Olave had a 34.8% Target share (20th), 39% TPRR (30th), and the 17th-highest YPRR on go routes (among 82 qualifying wide receivers). This matters a ton because the Packers have struggled against go routes in each of the last two seasons. Last year, Green Bay allowed the second-highest yards per attempt, third-highest adjusted completion rate, and the second-most passing touchdowns to go routes (per Fantasy Points Data). Olave has been running almost half of his routes from the slot, so he'll get plenty of reps against Keisean Nixon (88.9% catch rate and 135.6 passer rating) this week. Olave leads the team with a 31.1% first-read share (Thomas 26.7%, Shaheed 15.6%). The Packers have utilized zone coverage on 79-83% of their corner's snaps. Olave leads the team in nearly every category against zone. Week 3 Positional Value: WR1",,,WR13,15.7,7000.0
mikewilliams,WR,15,"Williams has been the 1B in this offense with a 24.3% Target share, a 32.1% air yard share, and a 29.4% first-read share. He has been Allen's running mate against zone coverage, with nearly identical numbers across the board. He got out the gate in Week 1 slowly, so he's lagging behind Allen, ranking 33rd in receiving grade and 30th in yards per route run. When Herbert isn't zeroing in on Allen, he'll feed Williams targets. Williams will run about 63% of his routes against Byron Murphy (87.5% catch rate and 90.6 passer rating) and Akayleb Evans (54.5% catch rate and 106.3 passer rating). Week 3 Positional Value: low-end WR1/high-end WR2",,,WR15,14.9,6000.0
dkmetcalf,WR,16,"Metcalf has a 16.4% Target share and a 36.0% air-yard share. Among 60 qualifying wide receivers, he ranks 21st in receiving grade and 26th in YPRR. Metcalf will take a step back this week against the Panther's zone-heavy defense. This season, the divide versus zone has widened even farther between Lockett and Metcalf. Metcalf only has a 14% Target share and an 18.5% first-read share. Metcalf is a threat for a big play or touchdown in any week (second on the team in red zone targets), so there's only so far you can drop him in the rankings. Metcalf will run about 77% of his routes against Jackson and Henderson. Metcalf is banged up with a rib issue. He didn't practice on Wednesday or Thursday and has been listed as questionable. Week 3 Positional Value: Low-end WR2/WR3",,,WR16,14.8,6900.0
tylerlockett,WR,19,"Lockett leads the team with a 20.9% Target share and a 41.1% air yard share. He remains the team's preferred weapon against zone coverage (CAR 58-70% zone with their corners), with a 20% Target share and a team-leading 22.2% first-read share. Lockett leads the team with four red zone targets. Lockett will run about 68% of his routes against Donte Jackson (54.5% catch rate and 84.7 passer rating) and C.J. Henderson (85.7% catch rate and 118.8 passer rating). Chef Geno will lean on Lockett this week, especially with D.K. Metcalf banged up. Week 3 Positional Value: WR2",,,WR19,14.5,6400.0
michaelpittmanjr.,WR,20,"Pittman has been a target hog. He has a 30.6% Target share, a 36.3% air yard share, and a whopping 39.6% first-read share. Among 60 qualifying receivers, he's 26th in YPRR. He is second on the team (Downs, three) with two red zone targets. He'll run about 75% of his routes against Brandon Stephens (57.1% catch rate and 71.7 passer rating) and Ronald Darby (50% catch rate and 99.0 passer rating). Week 3 Positional Value: WR2/3",start,,WR20,14.4,6200.0
amaricooper,WR,22,"Cooper came into this week nursing an injury, but you could never tell that based on his play in Week 2. He had a 79% route run per team dropback rate, drawing a 22.5% Target share and a 32.3% air yard share (2.31 YPRR). Cooper is the clear first read for Watson, with a 30.6% first-read share. Assuming his health holds up heading into Week 3, Cooper is poised for another strong outing against a pass funnel defense. Cooper will run about 68% of his routes against Sean Murphy-Bunting (66.7% catch rate and 129.4 passer rating) and Kristian Fulton (75% catch rate and 116.7 passer rating). Week 3 Positional Value: WR2",start,,WR22,14.0,5700.0
nicocollins,WR,24,"Collins has been crushing it this season. He's the WR6 with the fourth-most air yards in the NFL. He has a 22.0% Target share and a 40.7% air yard share. He is eighth in YPRR, immediately behind #PukaJuice. Collins will lead the way again this week against the Jaguars' zone coverage. He leads the team in Target share, TPRR, YPRR, and first-read share against zone. Collins will run about 80% of his routes against Tyson Campbell (77.8% catch rate and 94.7 passer rating) and Darious Williams (72.7% catch rate and 102.8 passer rating). Week 3 Positional Value: WR2",start,,WR24,13.4,5300.0
garrettwilson,WR,25,"Wilson has had an amazing run out the last two weeks, with a touchdown-saving his day in Week 1 and a long touchdown in Week 2 doing the same. He has a 24.5% Target share and a 48.5% air yard share, which is amazing until you realize it's amounted to only six targets and 58.5 receiving yards per game. He can't sustain this type of output as the WR23 all season with Zach Wilson under center. Wilson will run about 80% of his routes against Christian Gonzalez (66.7% catch rate and 58.5 passer rating) and some combination of Shaun Wade and Marcus Jones (combined have allowed a 66.7% catch rate and 40 receiving yards total). Week 3 Positional Value: WR4",,,WR25,13.4,6800.0
zayflowers,WR,26,"Flowers has a 27.3% Target share and a 21.8% air yard share. Among 60 qualifying wide receivers, he's ranked 16th in receiving grade and YPRR. In Week 1, he drew a ridiculous 45.5% Target share and 60% first read share. Yes, a large portion of that first-read share was related to screens. In Week 2, his usage came crashing back to earth with a 15.2% Target share and a 19.2% first-read share. That first-read share was still good for second-best on the team, though. Against zone coverage (excluding designed or screen targets), Flowers leads the team in YPRR, but he falls down the pecking order in TPRR and first-read share. Flowers will run about 62% of his routes against Dallis Flowers (50% catch rate and 100.0 passer rating) and Darrell Baker Jr. (61.5% catch rate and 125.8 passer rating). Week 3 Positional Value: WR3",,,WR26,13.3,5400.0
jaylenwaddle,WR,27,"We remain in a holding pattern with Waddle. He didn't practice until Friday, when he managed a limited session. I'll update his status on Saturday when we know more. He may clear the concussion protocol before Sunday, so for now, we will wait. Week 3 Positional Value: TBD",,,WR27,13.2,7500.0
