TE_REC,TE_TGT,TE_REC_YDS,TE_REC_YDS,TE_REC_TD,TE_REC_TD,TE_FPTS,player_name,Position
0,0,0,0,0,0,0.0,stephencarlson(chi),TE
0,1,0,0,0,0,0.0,colbyparkinson(lar),TE
0,0,0,0,0,0,0.0,feleipefranks(car),TE
0,0,0,0,0,0,0.0,sagesurratt(ari),TE
0,0,0,0,0,0,0.0,brevinjordan(hou),TE
0,0,0,0,0,0,0.0,lawrencecager(nyg),TE
0,0,0,0,0,0,0.0,juwanjohnson(no),TE
0,0,0,0,0,0,0.0,daltonkeene(hou),TE
0,0,0,0,0,0,0.0,charliewoerner(atl),TE
0,0,0,0,0,0,0.0,tylermabry(sea),TE
0,0,0,0,0,0,0.0,seanmckeon(det),TE
0,0,0,0,0,0,0.0,giovanniricci(fa),TE
0,0,0,0,0,0,0.0,tylerdavis(gb),TE
0,0,0,0,0,0,0.0,tommyhudson(no),TE
0,0,0,0,0,0,0.0,braydenwillis(sf),TE
0,0,0,0,0,0,0.0,michaelezeike(sea),TE
0,0,0,0,0,0,0.0,bensims(gb),TE
0,0,0,0,0,0,0.0,zackkuntz(nyj),TE
0,0,0,0,0,0,0.0,paynedurham(tb),TE
0,0,0,0,0,0,0.0,brentonstrange(jac),TE
0,0,0,0,0,0,0.0,joelwilson(gb),TE
0,3,0,0,0,0,0.0,lukeschoonmaker(dal),TE
0,0,0,0,0,0,0.0,julianhill(mia),TE
0,0,0,0,0,0,0.0,travisvokolek(ari),TE
0,0,0,0,0,0,0.0,e.j.jenkins(phi),TE
0,0,0,0,0,0,0.0,bradyrussell(sea),TE
0,0,0,0,0,0,0.0,patrickmurtagh(jac),TE
0,0,0,0,0,0,0.0,griffinhebert(phi),TE
0,0,0,0,0,0,0.0,henrypearson(gb),TE
0,0,0,0,0,0,0.0,blakewhiteheart(ari),TE
0,0,0,0,0,0,0.0,cadestover(hou),TE
0,0,0,0,0,0,0.0,tannertaula(tb),TE
0,0,0,0,0,0,0.0,jaketonges(sf),TE
0,0,0,0,0,0,0.0,rodneywilliams(pit),TE
0,0,0,0,0,0,0.0,kehindeoginni(atl),TE
0,0,0,0,0,0,0.0,jaheimbell(ne),TE
0,0,0,0,0,0,0.0,dallinholker(no),TE
0,0,0,0,0,0,0.0,leroywatsoniv(ten),TE
0,0,0,0,0,0,0.0,zairemitchell-paden(cle),TE
0,0,0,0,0,0,0.0,thomasodukoya(ten),TE
0,0,0,0,0,0,0.0,tuckerfisk(lac),TE
0,0,0,0,0,0,0.0,colefotheringham(lv),TE
0,0,0,0,0,0,0.0,devinculp(tb),TE
0,0,0,0,0,0,0.0,alecholler(dal),TE
0,0,0,0,0,0,0.0,masonpline(sf),TE
0,0,0,0,0,0,0.0,treytonwelch(cle),TE
0,0,0,0,0,0,0.0,stevenstilianos(ten),TE
0,0,0,0,0,0,0.0,colsonyankoff(was),TE
0,0,0,0,0,0,0.0,lukebenson(lac),TE
0,0,0,0,0,0,0.0,messiahswinson(gb),TE
0,0,0,0,0,0,0.0,brendenbates(chi),TE
0,0,0,0,0,0,0.0,jackwestover(sea),TE
0,0,0,0,0,0,0.0,jacobwarren(ne),TE
0,0,0,0,0,0,0.0,thomasyassmin(den),TE
0,0,0,0,0,0,0.0,masonfairchild(no),TE
0,0,0,0,0,0,0.0,geor'quariusspivey(kc),TE
0,0,0,0,0,0,0.0,haydenrucci(mia),TE
0,0,0,0,0,0,0.0,davidmartin-robinson(ten),TE
0,0,0,0,0,0,0.0,qadirismail(bal),TE
0,0,0,0,0,0,0.0,nealjohnson(min),TE
0,0,0,0,0,0,0.0,rileysharp(bal),TE
0,0,0,0,0,0,0.0,mikerigerman(bal),TE
0,0,0,0,0,0,0.0,lincolnsefcik(nyj),TE
0,0,0,0,0,0,0.0,shawnbowman(jac),TE
0,0,0,0,0,0,0.0,kevinfoelsch(phi),TE
0,0,0,0,0,0,0.0,tipreiman(ari),TE
0,0,0,0,0,0,0.0,isaacrex(lac),TE
0,0,0,0,0,0,0.0,johnsamuelshenker(lv),TE
0,0,0,0,0,0,0.0,brevynspann-ford(dal),TE
0,0,0,0,0,0,0.0,johnstephensjr.(dal),TE
0,0,0,0,0,0,0.0,princetonfant(dal),TE
0,0,0,0,0,0,0.0,jordanmurray(ind),TE
0,0,0,0,0,0,0.0,camgrandy(cin),TE
0,0,0,0,0,0,0.0,zachheins(lac),TE
0,0,0,0,0,0,0.0,mccallancastles(phi),TE
0,0,0,0,0,0,0.0,tannermclachlan(cin),TE
0,0,0,0,0,0,0.0,jaredwiley(kc),TE
0,0,0,0,0,0,0.0,ajbarner(sea),TE
0,0,0,0,0,0,0.0,bensinnott(was),TE
0,0,0,0,0,0,0.0,la'michaelpettway(ne),TE
0,0,0,0,0,0,0.0,elijahhiggins(ari),TE
0,0,0,0,0,0,0.0,theojohnson(nyg),TE
0,0,0,0,0,0,0.0,austinstogner(atl),TE
0,0,0,0,0,0,0.0,michaelmayer(lv),TE
0,0,0,0,0,0,0.0,baylorcupp(kc),TE
0,0,0,0,0,0,0.0,gregdulcich(den),TE
0,0,0,0,0,0,0.0,brockwright(det),TE
0,0,0,0,0,0,0.0,jacobharris(phi),TE
0,0,0,0,0,0,0.0,sammisreyes(min),TE
0,0,0,0,0,0,0.0,jackstoll(nyg),TE
0,0,0,0,0,0,0.0,jamesmitchell(det),TE
0,0,0,0,0,0,0.0,kennyyeboah(nyj),TE
0,0,0,0,0,0,0.0,tre'mckitty(buf),TE
0,0,0,0,0,0,0.0,tommytremble(car),TE
0,0,0,0,0,0,0.0,hunterlong(lar),TE
0,0,0,0,0,0,0.0,charliekolar(bal),TE
0,0,0,0,0,0,0.0,quintinmorris(buf),TE
0,0,0,0,0,0,0.0,peytonhendershot(dal),TE
0,0,0,0,0,0,0.0,brockbowers(lv),TE
0,0,0,0,0,0,0.0,treyknox(min),TE
0,0,0,0,0,0,0.0,millerforristall(lar),TE
0,0,0,0,0,0,0.0,hunterkampmoyer(den),TE
0,0,0,0,0,0,0.0,lucaskrull(den),TE
0,0,0,0,0,0,0.0,ja'tavionsanders(car),TE
0,0,0,0,0,0,0.0,cameronlatu(sf),TE
0,0,0,0,0,0,0.0,armanirogers(phi),TE
0,0,0,0,0,0,0.0,nickmuse(min),TE
0,0,0,0,0,0,0.0,tannerconner(mia),TE
0,0,0,0,0,0,0.0,teaganquitoriano(hou),TE
0,0,0,0,0,0,0.0,johnfitzpatrick(atl),TE
0,0,0,0,0,0,0.0,grantcalcaterra(phi),TE
0,0,0,0,0,0,0.0,connorheyward(pit),TE
0,1,0,0,0,0,0.0,stonesmartt(lac),TE
0,0,0,0,0,0,0.0,kokieft(tb),TE
0,0,0,0,0,0,0.0,nikolakalinic(lar),TE
0,0,0,0,0,0,0.0,shanezylstra(det),TE
0,0,0,0,0,0,0.0,salcannella(tb),TE
0,0,0,0,0,0,0.0,bernhardseikovits(ari),TE
0,0,0,0,0,0,0.0,zachdavidson(buf),TE
0,0,0,0,0,0,0.0,michaeljacobson(no),TE
0,0,0,0,0,0,0.0,willmallory(ind),TE
0,0,0,0,0,0,0.0,erickalljr.(cin),TE
0,0,0,0,0,0,0.0,jelaniwoods(ind),TE
0,0,0,0,0,0,0.0,isaiahlikely(bal),TE
0,0,0,0,0,0,0.0,davisallen(lar),TE
0,0,0,0,0,0,0.0,coleturner(was),TE
0,0,0,0,0,0,0.0,drakedunsmore(tb),TE
0,0,0,0,0,0,0.0,dominiquecurry(det),TE
0,0,0,0,0,0,0.0,jordanmatthews(car),TE
0,0,0,0,0,0,0.0,derekfine(hou),TE
0,0,0,0,0,0,0.0,darnelldinkins(no),TE
0,0,0,0,0,0,0.0,j.p.foschi(cin),TE
0,0,0,0,0,0,0.0,joeyhaynos(mia),TE
0,0,0,0,0,0,0.0,bradcottam(kc),TE
0,0,0,0,0,0,0.0,jimmygraham(fa),TE
0,0,0,0,0,0,0.0,jamesdearth(nyj),TE
0,0,0,0,0,0,0.0,marquezbranson(atl),TE
0,0,0,0,0,0,0.0,keithzinger(atl),TE
0,0,0,0,0,0,0.0,justinsnow(ind),TE
0,0,0,0,0,0,0.0,darrelldaniels(fa),TE
0,0,0,0,0,0,0.0,jacobhollister(car),TE
0,0,0,0,0,0,0.0,anthonyfirkser(nyj),TE
0,0,0,0,0,0,0.0,johnnymundt(min),TE
0,0,0,0,0,0,0.0,ericsaubert(sf),TE
0,0,0,0,0,0,0.0,zachwood(no),TE
0,0,0,0,0,0,0.0,kevinrader(no),TE
0,0,0,0,0,0,0.0,willdissly(lac),TE
0,0,0,0,0,0,0.0,rossdwelley(atl),TE
0,0,0,0,0,0,0.0,pharaohbrown(sea),TE
0,0,0,0,0,0,0.0,davidwells(tb),TE
0,0,0,0,0,0,0.0,jordanthomas(atl),TE
0,1,0,0,0,0,0.0,ianthomas(car),TE
0,0,0,0,0,0,0.0,blakebell(fa),TE
0,1,0,0,0,0,0.0,mycolepruitt(pit),TE
0,0,0,0,0,0,0.0,andrewdepaola(min),TE
0,0,0,0,0,0,0.0,jameswinchester(kc),TE
0,0,0,0,0,0,0.0,tylerott(was),TE
0,0,0,0,0,0,0.0,patrickscales(chi),TE
0,0,0,0,0,0,0.0,nickvannett(ten),TE
0,1,0,0,0,0,0.0,geoffswaim(fa),TE
0,0,0,0,0,0,0.0,devongarrison(sea),TE
0,0,0,0,0,0,0.0,erictomlinson(ind),TE
1,1,-1,0,0,0,-0.1,drewsample(cin),TE
