QB_Rank_0,Player,QB_CMP_2,QB_ATT_3,QB_PCT_4,QB_YDS_5,QB_Y/A_6,QB_TD_7,QB_INT_8,QB_SACKS_9,QB_ATT_10,QB_YDS_11,QB_TD_12,QB_FL_13,QB_G_14,QB_FPTS_15,QB_FPTS/G_16,QB_ROST_17,Position,RB_Rank_0,RB_ATT_2,RB_YDS_3,RB_Y/A_4,RB_LG_5,RB_20+_6,RB_TD_7,RB_REC_8,RB_TGT_9,RB_YDS_10,RB_Y/R_11,RB_TD_12,RB_FL_13,RB_G_14,RB_FPTS_15,RB_FPTS/G_16,RB_ROST_17,WR_Rank_0,WR_REC_2,WR_TGT_3,WR_YDS_4,WR_Y/R_5,WR_LG_6,WR_20+_7,WR_TD_8,WR_ATT_9,WR_YDS_10,WR_TD_11,WR_FL_12,WR_G_13,WR_FPTS_14,WR_FPTS/G_15,WR_ROST_16,TE_Rank_0,TE_REC_2,TE_TGT_3,TE_YDS_4,TE_Y/R_5,TE_LG_6,TE_20+_7,TE_TD_8,TE_ATT_9,TE_YDS_10,TE_TD_11,TE_FL_12,TE_G_13,TE_FPTS_14,TE_FPTS/G_15,TE_ROST_16,DST_Rank_0,DST_SACK_2,DST_INT_3,DST_FR_4,DST_FF_5,DST_DEF TD_6,DST_SFTY_7,DST_SPC TD_8,DST_G_9,DST_FPTS_10,DST_FPTS/G_11,DST_ROST_12
40,Sam Ehlinger (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Sean Clifford (GB),0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.2%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Jacob Eason (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Tyler Huntley (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Shane Buechele (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Feleipe Franks (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Trey Lance (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Dorian Thompson-Robinson (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Ian Book (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Michael Penix Jr. (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Michael Pratt (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Clayton Tune (ARI),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Tanner Mordecai (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Nathan Rourke (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Tyson Bagent (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Jordan Travis (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Dresser Winn (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Devin Leary (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Jake Haener (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Tanner McKee (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Tommy DeVito (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Rocky Lombardi (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,John Rhys Plumlee (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Casey Bauman (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Zack Annexstad (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Jack Plummer (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Andrew Peasley (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Jason Bean (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Joe Milton III (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Carter Bradley (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Austin Reed (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Chris Oladokun (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Will Levis (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Max Duggan (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Kedon Slovis (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Malik Willis (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Malik Cunningham (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,J.J. McCarthy (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Adrian Martinez (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Drake Maye (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Spencer Rattler (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Caleb Williams (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.2%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Aidan O'Connell (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Hendon Hooker (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Sam Hartman (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Bailey Zappe (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Stetson Bennett (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Jaren Hall (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Anthony Brown Jr. (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Skylar Thompson (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Andy Dalton (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Ben Chappell (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Adam Froman (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Erik Ainge (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Hunter Cantwell (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Case Keenum (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Joe Flacco (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Josh Johnson (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Brian Hoyer (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Taysom Hill (NO),0,0,0,0,0,0,0,0,3,4,0,0,1,0.0,0.0,35.8%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Mason Rudolph (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Logan Woodside (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Mike White (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Mitchell Trubisky (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,C.J. Beathard (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,P.J. Walker (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Cooper Rush (DAL),0,1,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Nick Mullens (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
