WR_REC,WR_TGT,WR_REC_YDS,WR_REC_YDS,WR_REC_TD,WR_REC_TD,WR_FPTS,player_name,Position
0,0,0,0,0,0,0.0,juwannwinfree(ind),WR
0,0,0,0,0,0,0.0,mecolehardmanjr.(kc),WR
0,0,0,0,0,0,0.0,stanleymorganjr.(no),WR
0,0,0,0,0,0,0.0,diontaejohnson(car),WR
0,0,0,0,0,0,0.0,tylerjohnson(lar),WR
0,0,0,0,0,0,0.0,milesboykin(nyg),WR
0,0,0,0,0,0,0.0,ashtondulin(ind),WR
0,0,0,0,0,0,0.0,amarirodgers(fa),WR
0,0,0,0,0,0,0.0,ihmirsmith-marsette(car),WR
0,0,0,0,0,0,0.0,dezfitzpatrick(pit),WR
2,4,20,-20,0,0,0.0,elijahmoore(cle),WR
0,0,0,0,0,0,0.0,sethwilliams(jac),WR
0,0,0,0,0,0,0.0,sagesurratt(ari),WR
0,0,0,0,0,0,0.0,anthonyschwartz(mia),WR
0,0,0,0,0,0,0.0,daxmilne(lv),WR
0,0,0,0,0,0,0.0,danchisena(ari),WR
0,0,0,0,0,0,0.0,andrebaccellia(ari),WR
0,1,0,0,0,0,0.0,lynnbowdenjr.(fa),WR
0,0,0,0,0,0,0.0,tylanwallace(bal),WR
0,0,0,0,0,0,0.0,justynross(kc),WR
0,2,0,0,0,0,0.0,rondalemoore(atl),WR
0,0,0,0,0,0,0.0,rashodbateman(bal),WR
0,0,0,0,0,0,0.0,codywhite(sea),WR
0,0,0,0,0,0,0.0,trishtonjackson(min),WR
0,0,0,0,0,0,0.0,jauanjennings(sf),WR
0,0,0,0,0,0,0.0,tyriecleveland(ind),WR
0,0,0,0,0,0,0.0,quezwatkins(pit),WR
0,0,0,0,0,0,0.0,lawrencecager(nyg),WR
0,0,0,0,0,0,0.0,masonkinsey(ten),WR
0,0,0,0,0,0,0.0,kristianwilkerson(lv),WR
0,0,0,0,0,0,0.0,austinwatkinsjr.(phi),WR
0,0,0,0,0,0,0.0,nikkoremigio(kc),WR
0,0,0,0,0,0,0.0,zavierscott(ind),WR
0,0,0,0,0,0,0.0,jasonbrownlee(nyj),WR
0,0,0,0,0,0,0.0,t.j.luther(pit),WR
0,0,0,0,0,0,0.0,tyscott(sea),WR
0,0,0,0,0,0,0.0,shedrickjackson(cin),WR
0,0,0,0,0,0,0.0,duecewatts(pit),WR
0,0,0,0,0,0,0.0,malikheath(gb),WR
0,0,0,0,0,0,0.0,griffinhebert(phi),WR
0,0,0,0,0,0,0.0,isaiahwinstead(nyj),WR
0,0,0,0,0,0,0.0,tyrellshavers(buf),WR
0,0,0,0,0,0,0.0,seanryan(bal),WR
0,0,0,0,0,0,0.0,xaviersmith(lar),WR
0,0,0,0,0,0,0.0,devontezwalker(bal),WR
0,0,0,0,0,0,0.0,keoncoleman(buf),WR
0,0,0,0,0,0,0.0,ryanmiller(tb),WR
0,0,0,0,0,0,0.0,tre'shaunharrison(ten),WR
0,0,0,0,0,0,0.0,dylandrummond(atl),WR
0,0,0,0,0,0,0.0,daviddurden(dal),WR
0,0,0,0,0,0,0.0,johnstephensjr.(dal),WR
0,0,0,0,0,0,0.0,luckyjackson(min),WR
0,0,0,0,0,0,0.0,brycentremayne(was),WR
0,0,0,0,0,0,0.0,charliejones(cin),WR
0,0,0,0,0,0,0.0,jacobcowing(sf),WR
0,0,0,0,0,0,0.0,johnnywilson(phi),WR
0,0,0,0,0,0,0.0,xavierhutchinson(hou),WR
0,0,0,0,0,0,0.0,andreiiosivas(cin),WR
0,0,0,0,0,0,0.0,tretucker(lv),WR
0,0,0,0,0,0,0.0,daylenbaldwin(ari),WR
0,0,0,0,0,0,0.0,jalenwayne(gb),WR
0,1,0,0,0,0,0.0,jakebobo(sea),WR
0,0,0,0,0,0,0.0,bryceford-wheaton(nyg),WR
0,0,0,0,0,0,0.0,jarayjenkins(pit),WR
0,0,0,0,0,0,0.0,joshali(atl),WR
0,0,0,0,0,0,0.0,mauricealexander(det),WR
0,0,0,0,0,0,0.0,jalencropper(dal),WR
0,0,0,0,0,0,0.0,jessematthews(atl),WR
0,0,0,0,0,0,0.0,shaquandavis(no),WR
0,0,0,0,0,0,0.0,jalenbrooks(dal),WR
0,0,0,0,0,0,0.0,grantdubose(gb),WR
0,0,0,0,0,0,0.0,thayerthomas(min),WR
0,0,0,0,0,0,0.0,malikknowles(min),WR
0,0,0,0,0,0,0.0,cephusjohnsoniii(tb),WR
0,0,0,0,0,0,0.0,antoinegreen(fa),WR
0,0,0,0,0,0,0.0,terrellbynum(lv),WR
0,0,0,0,0,0,0.0,kazmeirallen(was),WR
0,0,0,0,0,0,0.0,elijahcooks(jac),WR
0,1,0,0,0,0,0.0,coltondowell(ten),WR
0,0,0,0,0,0,0.0,mattlanders(ne),WR
0,0,0,0,0,0,0.0,maliknabers(nyg),WR
0,0,0,0,0,0,0.0,romeodunze(chi),WR
0,0,0,0,0,0,0.0,malachicorley(nyj),WR
0,0,0,0,0,0,0.0,kameronjohnson(tb),WR
0,0,0,0,0,0,0.0,jaquaejackson(ne),WR
0,0,0,0,0,0,0.0,samschnee(ten),WR
0,0,0,0,0,0,0.0,bryceoliver(ten),WR
0,0,0,0,0,0,0.0,isaiahwashington(bal),WR
0,0,0,0,0,0,0.0,sampinckney(car),WR
0,0,0,0,0,0,0.0,ojhiliare(atl),WR
0,0,0,0,0,0,0.0,tylerharrell(nyj),WR
0,0,0,0,0,0,0.0,deewilliams(sea),WR
0,0,0,0,0,0,0.0,camjohnson(dal),WR
0,0,0,0,0,0,0.0,ayirasante(nyg),WR
0,0,0,0,0,0,0.0,isaiahwooden(lac),WR
0,0,0,0,0,0,0.0,julianhicks(gb),WR
0,0,0,0,0,0,0.0,jeshaunjones(min),WR
0,0,0,0,0,0,0.0,jaloncalhoun(det),WR
0,0,0,0,0,0,0.0,xavierjohnson(buf),WR
0,0,0,0,0,0,0.0,ahmareanbrown(cle),WR
0,0,0,0,0,0,0.0,masontipton(no),WR
0,0,0,0,0,0,0.0,jeffforeman(lv),WR
0,0,0,0,0,0,0.0,jaelengill(lac),WR
0,0,0,0,0,0,0.0,jaylenjohnson(lac),WR
0,0,0,0,0,0,0.0,kylesheets(kc),WR
0,0,0,0,0,0,0.0,coreycroomsjr.(dal),WR
0,0,0,0,0,0,0.0,samwiglusz(lar),WR
0,0,0,0,0,0,0.0,haydenhatten(sea),WR
0,0,0,0,0,0,0.0,peterleblanc(chi),WR
0,0,0,0,0,0,0.0,latrealjones(tb),WR
0,0,0,0,0,0,0.0,johnjiles(nyg),WR
0,0,0,0,0,0,0.0,tannerknue(tb),WR
0,0,0,0,0,0,0.0,johnjacksoniii(chi),WR
0,0,0,0,0,0,0.0,davidwallis(ne),WR
0,0,0,0,0,0,0.0,derekslywka(ind),WR
0,0,0,0,0,0,0.0,davidwhitejr.(jac),WR
0,0,0,0,0,0,0.0,coleburgess(cin),WR
0,0,0,0,0,0,0.0,josephscates(jac),WR
0,0,0,0,0,0,0.0,jjlaap(lar),WR
0,0,0,0,0,0,0.0,dimitristanley(gb),WR
0,0,0,0,0,0,0.0,marcusriley(nyj),WR
0,0,0,0,0,0,0.0,phillipbrooks(kc),WR
0,0,0,0,0,0,0.0,qadirismail(bal),WR
0,0,0,0,0,0,0.0,drakestoops(lar),WR
0,0,0,0,0,0,0.0,chasecota(nyg),WR
0,0,0,0,0,0,0.0,laddmcconkey(lac),WR
0,0,0,0,0,0,0.0,xavierlegette(car),WR
0,0,0,0,0,0,0.0,romanwilson(pit),WR
0,0,0,0,0,0,0.0,jamarithrash(cle),WR
0,0,0,0,0,0,0.0,caseywashington(atl),WR
0,0,0,0,0,0,0.0,tulugriffin(lv),WR
0,0,0,0,0,0,0.0,jalencoker(car),WR
0,0,0,0,0,0,0.0,anthonygould(ind),WR
0,0,0,0,0,0,0.0,daytonwade(bal),WR
0,0,0,0,0,0,0.0,tahjwashington(mia),WR
0,0,0,0,0,0,0.0,jadonjanke(mia),WR
0,0,0,0,0,0,0.0,devaughnvele(den),WR
0,0,0,0,0,0,0.0,tejhaunpalmer(ari),WR
0,0,0,0,0,0,0.0,ryanflournoy(dal),WR
0,0,0,0,0,0,0.0,ja'lynnpolk(ne),WR
0,0,0,0,0,0,0.0,je'quanburton(mia),WR
0,0,0,0,0,0,0.0,brendenrice(lac),WR
0,0,0,0,0,0,0.0,rickypearsall(sf),WR
0,0,0,0,0,0,0.0,isaiahwilliams(det),WR
0,0,0,0,0,0,0.0,malikwashington(mia),WR
0,0,0,0,0,0,0.0,lukemccaffrey(was),WR
0,0,0,0,0,0,0.0,marcusrosemy-jacksaint(was),WR
0,0,0,0,0,0,0.0,bubmeans(no),WR
0,0,0,0,0,0,0.0,joshuacephus(jac),WR
0,0,0,0,0,0,0.0,jha'quanjackson(ten),WR
0,0,0,0,0,0,0.0,cornellpowell(kc),WR
0,0,0,0,0,0,0.0,austintrammell(jac),WR
0,0,0,0,0,0,0.0,jacobharris(phi),WR
0,0,0,0,0,0,0.0,raceymcmath(dal),WR
0,0,0,0,0,0,0.0,simifehoko(lac),WR
0,0,0,0,0,0,0.0,kawaanbaker(ne),WR
0,0,0,0,0,0,0.0,ramelkeyton(lv),WR
0,0,0,0,0,0,0.0,jordanwhittington(lar),WR
0,0,0,0,0,0,0.0,ainiassmith(phi),WR
0,0,0,0,0,0,0.0,jalenmcmillan(tb),WR
0,0,0,0,0,0,0.0,tayvionrobinson(car),WR
0,0,0,0,0,0,0.0,brandonsmith(nyj),WR
0,1,0,0,0,0,0.0,jordanaddison(min),WR
0,0,0,0,0,0,0.0,michaelbandy(den),WR
0,0,0,0,0,0,0.0,jamesonwilliams(det),WR
0,1,0,0,0,0,0.0,khalilshakir(buf),WR
0,0,0,0,0,0,0.0,erikezukanma(mia),WR
0,0,0,0,0,0,0.0,josephngata(phi),WR
0,0,0,0,0,0,0.0,mikestrachan(car),WR
0,0,0,0,0,0,0.0,djturner(lv),WR
0,0,0,0,0,0,0.0,davidbell(cle),WR
0,0,0,0,0,0,0.0,parkerwashington(jac),WR
0,0,0,0,0,0,0.0,jacobcopeland(pit),WR
0,0,0,0,0,0,0.0,jermaineburton(cin),WR
0,0,0,0,0,0,0.0,kearisjackson(ten),WR
0,0,0,0,0,0,0.0,malikcunningham(bal),WR
0,0,0,0,0,0,0.0,benskowronek(hou),WR
0,0,0,0,0,0,0.0,javonbaker(ne),WR
0,0,0,0,0,0,0.0,treylonburks(ten),WR
0,0,0,0,0,0,0.0,tyquanthornton(ne),WR
0,0,0,0,0,0,0.0,kayshonboutte(ne),WR
0,0,0,0,0,0,0.0,marvinharrisonjr.(ari),WR
0,0,0,0,0,0,0.0,troyfranklin(den),WR
0,0,0,0,0,0,0.0,brianthomasjr.(jac),WR
0,0,0,0,0,0,0.0,corneliusjohnson(lac),WR
0,0,0,0,0,0,0.0,xavierworthy(kc),WR
0,0,0,0,0,0,0.0,jonathanmingo(car),WR
0,0,0,0,0,0,0.0,kevinaustinjr.(no),WR
0,0,0,0,0,0,0.0,kyricmcgowan(mia),WR
0,0,0,0,0,0,0.0,jontrekirklin(sf),WR
0,0,0,0,0,0,0.0,darekeyoung(sea),WR
0,0,0,0,0,0,0.0,montrellwashington(kc),WR
0,0,0,0,0,0,0.0,samsonnacua(no),WR
0,0,0,0,0,0,0.0,justinhall(min),WR
0,0,0,0,0,0,0.0,irvincharles(nyj),WR
0,0,0,0,0,0,0.0,kadendavis(det),WR
0,0,0,0,0,0,0.0,raleighwebb(tb),WR
0,0,0,0,0,0,0.0,lancemccutcheon(nyj),WR
0,0,0,0,0,0,0.0,tyreikmcallister(lv),WR
0,0,0,0,0,0,0.0,dennishouston(nyg),WR
0,0,0,0,0,0,0.0,kendricpryor(cin),WR
0,0,0,0,0,0,0.0,mikeharleyjr.(mia),WR
0,0,0,0,0,0,0.0,jalennailor(min),WR
0,0,0,0,0,0,0.0,dannygray(sf),WR
0,0,0,0,0,0,0.0,jalenvirgil(den),WR
0,0,0,0,0,0,0.0,michaelwoodsii(cle),WR
0,0,0,0,0,0,0.0,kylephilips(ten),WR
0,0,0,0,0,0,0.0,xavierweaver(ari),WR
0,0,0,0,0,0,0.0,taymartin(sf),WR
0,0,0,0,0,0,0.0,bomelton(gb),WR
0,0,0,0,0,0,0.0,justinshorter(buf),WR
0,0,0,0,0,0,0.0,mitchelltinsley(was),WR
0,1,0,0,0,0,0.0,dontayvionwicks(gb),WR
0,0,0,0,0,0,0.0,adonaimitchell(ind),WR
0,0,0,0,0,0,0.0,a.t.perry(no),WR
0,0,0,0,0,0,0.0,braylonsanders(mia),WR
0,0,0,0,0,0,0.0,johnnyjohnsoniii(hou),WR
0,0,0,0,0,0,0.0,britaincovey(phi),WR
1,1,0,0,0,0,0.0,marquisegoodwin(fa),WR
0,0,0,0,0,0,0.0,patrickedwards(det),WR
0,1,0,0,0,0,0.0,marvinjonesjr.(fa),WR
0,0,0,0,0,0,0.0,jordanmatthews(car),WR
0,0,0,0,0,0,0.0,odellbeckhamjr.(mia),WR
0,0,0,0,0,0,0.0,martavisbryant(was),WR
0,0,0,0,0,0,0.0,kennymckinley(den),WR
0,0,0,0,0,0,0.0,mikefurrey(was),WR
0,0,0,0,0,0,0.0,natehughes(jac),WR
0,0,0,0,0,0,0.0,mauricepurify(cin),WR
0,0,0,0,0,0,0.0,matthewslater(fa),WR
0,0,0,0,0,0,0.0,markomitchell(min),WR
0,0,0,0,0,0,0.0,bobbywade(was),WR
0,0,0,0,0,0,0.0,chrishenry(cin),WR
0,0,0,0,0,0,0.0,demarioballard(det),WR
0,0,0,0,0,0,0.0,rodharper(phi),WR
0,0,0,0,0,0,0.0,samgiguere(nyg),WR
0,0,0,0,0,0,0.0,justinhardeesr.(cle),WR
0,0,0,0,0,0,0.0,davidmoore(car),WR
0,0,0,0,0,0,0.0,gregward(ind),WR
0,0,0,0,0,0,0.0,mikewilliams(nyj),WR
0,0,0,0,0,0,0.0,johnross(phi),WR
0,0,0,0,0,0,0.0,trenttaylor(sf),WR
0,0,0,0,0,0,0.0,timpatrick(den),WR
0,0,0,0,0,0,0.0,zayjones(ari),WR
0,0,0,0,0,0,0.0,cooperkupp(lar),WR
0,0,0,0,0,0,0.0,noahbrown(hou),WR
0,3,0,0,0,0,0.0,mackhollins(buf),WR
0,0,0,0,0,0,0.0,brandonpowell(min),WR
0,0,0,0,0,0,0.0,keithkirkwood(bal),WR
0,0,0,0,0,0,0.0,malikturner(sf),WR
0,0,0,0,0,0,0.0,n'kealharry(min),WR
0,0,0,0,0,0,0.0,kelvinharmon(dal),WR
0,0,0,0,0,0,0.0,deoncain(buf),WR
0,0,0,0,0,0,0.0,anthonymiller(bal),WR
0,0,0,0,0,0,0.0,deontayburnett(dal),WR
0,0,0,0,0,0,0.0,tre'quansmith(det),WR
0,0,0,0,0,0,0.0,dantepettis(chi),WR
0,0,0,0,0,0,0.0,rivercracraft(mia),WR
0,0,0,0,0,0,0.0,russellgage(bal),WR
0,0,0,0,0,0,0.0,dauricefountain(det),WR
0,0,0,0,0,0,0.0,deandrecarter(chi),WR
0,0,0,0,0,0,0.0,chrisconley(sf),WR
0,0,0,0,0,0,0.0,jamisoncrowder(was),WR
0,0,0,0,0,0,0.0,tymontgomeryii(fa),WR
0,0,0,0,0,0,0.0,phillipdorsettii(den),WR
0,0,0,0,0,0,0.0,damierebyrd(buf),WR
0,0,0,0,0,0,0.0,demarcusrobinson(lar),WR
0,1,0,0,0,0,0.0,robbiechosen(sf),WR
0,0,0,0,0,0,0.0,laquontreadwell(ind),WR
1,1,-1,0,0,0,-0.1,timjones(jac),WR
