player_name,dk_player_id,draftable_id,player_position_id,player_team_id,pos_rank,position,projected_points,rank_ecr,salary,team_abbreviation
andydalton,322858.0,40972214.0,QB,CAR,QB47,QB,0.4,47.0,4000.0,CAR
anthonygould,1161661.0,40972834.0,WR,IND,WR146,WR,0.0,146.0,3000.0,IND
anthonyrichardson,1215022.0,40973041.0,66.0,,,QB,,,4000.0,IND
anthonytyus,1287778.0,40973204.0,67.0,,,RB,,,4000.0,CAR
antoniogibson,1107826.0,40972671.0,67.0,,,RB,,,4000.0,NE
ariansmith,1218653.0,40973066.0,68.0,,,WR,,,3000.0,NYJ
ashtondulin,1166036.0,40972886.0,68.0,,,WR,,,3000.0,IND
ashtonjeanty,1379646.0,40973275.0,RB,LV,RB17,RB,14.2,17.0,6400.0,LV
atperry,1109758.0,40972690.0,68.0,,,WR,,,3000.0,DEN
audricestime,1321291.0,40973242.0,RB,NO,RB64,RB,2.9,64.0,4000.0,NO
austinekeler,790004.0,40972328.0,67.0,,,RB,,,4000.0,WAS
austinhooper,739424.0,40972294.0,TE,NE,TE44,TE,3.5,44.0,2500.0,NE
austintrammell,1056660.0,40972596.0,WR,JAC,WR147,WR,0.0,147.0,3000.0,JAX
baileyzappe,1058090.0,40972610.0,66.0,,,QB,,,4000.0,CLE
bakermayfield,748070.0,40972312.0,QB,TB,QB18,QB,16.4,18.0,5900.0,TB
beauxcollins,1287705.0,40973202.0,68.0,,,WR,,,3000.0,NYG
bensims,1129452.0,40972794.0,TE,MIN,TE106,TE,0.0,106.0,2500.0,MIN
bensinnott,1228920.0,40973099.0,TE,WAS,TE74,TE,1.6,74.0,2500.0,WAS
benskowronek,920944.0,40972511.0,WR,PIT,WR145,WR,0.2,145.0,3000.0,PIT
benyurosek,1216808.0,40973060.0,69.0,,,TE,,,2500.0,MIN
bhayshultuten,1327169.0,40973266.0,RB,JAC,RB37,RB,8.4,37.0,4500.0,JAX
bijanrobinson,1228244.0,40973092.0,RB,ATL,RB5,RB,19.6,5.0,8500.0,ATL
bills,324.0,40972185.0,DST,BUF,DST17,DST,6.3,17.0,3400.0,BUF
blakecorum,1229540.0,40973117.0,RB,LAR,RB44,RB,7.0,44.0,4600.0,LAR
blakewhiteheart,1109731.0,40972688.0,TE,CLE,TE105,TE,0.0,105.0,2500.0,CLE
bonix,1161899.0,40972845.0,QB,DEN,QB9,QB,18.4,9.0,6100.0,DEN
bradycook,1213386.0,40972997.0,66.0,,,QB,,,4000.0,NYJ
bradyrussell,1064955.0,40972637.0,67.0,,,RB,,,4000.0,SEA
braelonallen,1325231.0,40973254.0,67.0,,,RB,,,4000.0,NYJ
brandincooks,607864.0,40984022.0,WR,BUF,WR125,WR,1.8,125.0,3400.0,BUF
brandonaiyuk,1107034.0,40972661.0,68.0,,,WR,,,4600.0,SF
brandonallen,604390.0,40972248.0,QB,TEN,QB59,QB,0.2,59.0,4000.0,TEN
brandonjohnson,921460.0,40972513.0,68.0,,,WR,,,3000.0,TB
brandonsmith,1059220.0,40972611.0,68.0,,,WR,,,3000.0,NYJ
braxtonberrios,820866.0,40972334.0,68.0,,,WR,,,3000.0,HOU
braydenwillis,1125589.0,40972767.0,69.0,,,TE,,,2500.0,SF
breecehall,1162537.0,40972848.0,RB,NYJ,RB11,RB,15.4,11.0,6000.0,NYJ
brendenbates,1113381.0,40972697.0,69.0,,,TE,,,2500.0,CLE
brendenrice,1225999.0,40973086.0,68.0,,,WR,,,3000.0,SEA
brennanpresley,1229386.0,40973111.0,68.0,,,WR,,,3000.0,LAR
brentonstrange,1164940.0,40972876.0,TE,JAC,TE14,TE,9.6,14.0,3700.0,JAX
brettrypien,866216.0,40972409.0,66.0,,,QB,,,4000.0,IND
brevinjordan,1121871.0,40972729.0,69.0,,,TE,,,2500.0,HOU
brianrobinson,973966.0,40972557.0,RB,SF,RB52,RB,5.5,52.0,4300.0,SF
brianthomas,1286064.0,40973171.0,WR,JAC,WR35,WR,10.8,35.0,6200.0,JAX
britishbrooks,1128295.0,40972784.0,RB,HOU,RB108,RB,0.0,108.0,4000.0,HOU
brockbowers,1285917.0,40973161.0,TE,LV,TE2,TE,15.0,2.0,5800.0,LV
brocklampe,1317287.0,40973234.0,67.0,,,RB,,,4000.0,NE
brockpurdy,1121761.0,40972726.0,QB,SF,QB22,QB,15.2,22.0,6000.0,SF
broncos,332.0,40972188.0,DST,DEN,DST3,DST,8.9,3.0,3300.0,DEN
browns,329.0,40972187.0,DST,CLE,DST13,DST,6.4,13.0,3000.0,CLE
brycefordwheaton,1120937.0,40972720.0,68.0,,,WR,,,3000.0,NYG
brycentremayne,1123525.0,40972751.0,WR,CAR,WR133,WR,1.0,133.0,3000.0,CAR
bryceoliver,1113398.0,40972699.0,68.0,,,WR,,,3000.0,TEN
brycepierre,1382752.0,40973285.0,69.0,,,TE,,,2500.0,CAR
bryceyoung,1213257.0,40972994.0,QB,CAR,QB29,QB,12.7,29.0,5300.0,CAR
brysonnesbit,1315563.0,40973230.0,69.0,,,TE,,,2500.0,MIN
bubmeans,1172080.0,40972917.0,68.0,,,WR,,,3000.0,NO
buccaneers,362.0,40972204.0,DST,TB,DST12,DST,6.5,12.0,3200.0,TB
buckyirving,1287923.0,40973212.0,RB,TB,RB24,RB,12.1,24.0,7000.0,TB
cadenprieskorn,1214242.0,40973025.0,69.0,,,TE,,,2500.0,CLE
cadeotton,1049263.0,40972586.0,TE,TB,TE17,TE,9.2,17.0,4100.0,TB
cadestover,1175182.0,40972936.0,TE,HOU,TE58,TE,2.3,58.0,2500.0,HOU
caleblohner,1231431.0,40973127.0,69.0,,,TE,,,2500.0,DEN
calvinaustin,1062765.0,40972633.0,WR,PIT,WR74,WR,6.3,74.0,3700.0,PIT
calvinridley,884013.0,40972453.0,68.0,,,WR,,,3000.0,TEN
camakers,976251.0,40999649.0,RB,SEA,RB95,RB,0.5,95.0,4000.0,SEA
cammiller,1242787.0,40973141.0,66.0,,,QB,,,4000.0,LV
camskattebo,1280316.0,40973153.0,67.0,,,RB,,,4000.0,NYG
camward,1228691.0,40973096.0,QB,TEN,QB27,QB,13.4,27.0,4600.0,TEN
cardinals,355.0,40972199.0,DST,ARI,DST16,DST,6.3,16.0,2700.0,ARI
carloswashington,1057725.0,40972606.0,67.0,,,RB,,,4000.0,ATL
carsonwentz,613866.0,40972267.0,66.0,,,QB,,,4000.0,MIN
carterbradley,1125632.0,40972769.0,66.0,,,QB,,,4000.0,JAX
carterrunyon,1468632.0,40973319.0,TE,LV,TE95,TE,0.6,95.0,2500.0,LV
caseywashington,1176431.0,40972942.0,68.0,,,WR,,,3000.0,ATL
cedrickwilson,912061.0,40972490.0,WR,MIA,WR123,WR,1.9,123.0,3000.0,MIA
cedrictillman,1124664.0,40972765.0,WR,CLE,WR79,WR,5.9,79.0,3600.0,CLE
chandlerbrayboy,1169263.0,40972903.0,68.0,,,WR,,,3000.0,JAX
chargers,357.0,40972201.0,DST,LAC,DST2,DST,9.2,2.0,4000.0,LAC
charliewoerner,922040.0,40972517.0,TE,ATL,TE66,TE,1.9,66.0,2500.0,ATL
chaseedmonds,832900.0,40972361.0,67.0,,,RB,,,4000.0,WAS
chigokonkwo,1106374.0,40972653.0,TE,TEN,TE30,TE,6.5,30.0,3600.0,TEN
chimeredike,1215102.0,40973046.0,WR,TEN,WR44,WR,9.4,44.0,4400.0,TEN
chrisblair,1120347.0,40972716.0,68.0,,,WR,,,3000.0,ATL
chriscollier,1215974.0,40973056.0,67.0,,,RB,,,4000.0,LV
chrisgodwin,835127.0,40972365.0,WR,TB,WR60,WR,8.1,60.0,5000.0,TB
chrismanhertz,563293.0,40972234.0,TE,NYG,TE98,TE,0.5,98.0,2500.0,NYG
chrismoore,606551.0,40972255.0,WR,WAS,WR102,WR,3.3,102.0,3000.0,WAS
chrismyarick,838318.0,40972386.0,69.0,,,TE,,,2500.0,MIA
chrisolave,1122592.0,40972741.0,WR,NO,WR13,WR,14.3,13.0,6400.0,NO
chrisrodriguez,1113403.0,40972701.0,RB,WAS,RB38,RB,8.4,38.0,4300.0,WAS
christiankirk,865801.0,40972402.0,WR,HOU,WR75,WR,6.2,75.0,3400.0,HOU
christianmccaffrey,830517.0,40972350.0,RB,SF,RB4,RB,20.0,4.0,9300.0,SF
chubahubbard,1062047.0,40972631.0,RB,CAR,RB55,RB,5.0,55.0,4400.0,CAR
cjdippre,1287588.0,40973197.0,69.0,,,TE,,,2500.0,NE
cjham,915397.0,40972497.0,RB,MIN,RB97,RB,0.5,97.0,4000.0,MIN
cjstroud,1214084.0,40973016.0,QB,HOU,QB19,QB,16.2,19.0,5000.0,HOU
codyschrader,1140248.0,40972827.0,67.0,,,RB,,,4000.0,JAX
codywhite,1057484.0,40972604.0,WR,SEA,WR137,WR,0.6,137.0,3000.0,SEA
colbyparkinson,1060312.0,40972624.0,TE,LAR,TE28,TE,6.9,28.0,2800.0,LAR
colemanowen,1184233.0,40972990.0,68.0,,,WR,,,3000.0,IND
colsonyankoff,1107232.0,40972663.0,TE,WAS,TE99,TE,0.4,99.0,2500.0,WAS
colts,338.0,40972190.0,DST,IND,DST15,DST,6.3,15.0,3100.0,IND
commanders,363.0,40972205.0,DST,WAS,DST29,DST,5.3,29.0,2500.0,WAS
connorbazelak,1171816.0,40972912.0,66.0,,,QB,,,4000.0,TB
connorheyward,1057457.0,40972602.0,TE,PIT,TE80,TE,1.3,80.0,2500.0,PIT
cooperkupp,698227.0,40972277.0,WR,SEA,WR58,WR,8.2,58.0,4000.0,SEA
coreykiner,1286050.0,40973167.0,67.0,,,RB,,,4000.0,MIN
courtlandsutton,838878.0,40972390.0,WR,DEN,WR24,WR,12.7,24.0,5800.0,DEN
courtneyjackson,1164141.0,40972860.0,68.0,,,WR,,,3000.0,SEA
curtissamuel,821389.0,40972336.0,68.0,,,WR,,,3100.0,BUF
dalencambre,1180329.0,40972970.0,WR,NYG,WR166,WR,0.0,166.0,3000.0,NYG
dalevoncampbell,1176367.0,40972940.0,68.0,,,WR,,,3000.0,LAC
daltonkincaid,1135513.0,40972823.0,TE,BUF,TE53,TE,2.6,53.0,4500.0,BUF
daltonschultz,830523.0,40972352.0,TE,HOU,TE13,TE,9.6,13.0,3800.0,HOU
danchisena,883314.0,40972451.0,68.0,,,WR,,,3000.0,CAR
danielbellinger,1122035.0,40972735.0,TE,NYG,TE46,TE,3.3,46.0,2500.0,NYG
danieljones,879981.0,40972430.0,QB,IND,QB20,QB,15.9,20.0,6300.0,IND
dantemiller,1121220.0,40972724.0,RB,NYG,RB101,RB,0.2,101.0,4000.0,NYG
dantepettis,837820.0,40972380.0,WR,NO,WR129,WR,1.2,129.0,3000.0,NO
daquanfelton,1179480.0,40972962.0,68.0,,,WR,,,3000.0,NYG
darekeyoung,1384869.0,40973291.0,68.0,,,WR,,,3000.0,SEA
dareogunbowale,703015.0,40972281.0,RB,HOU,RB76,RB,1.1,76.0,4000.0,HOU
dariusslayton,880557.0,40972440.0,WR,NYG,WR62,WR,7.6,62.0,4300.0,NYG
darnellmooney,912027.0,40972488.0,WR,ATL,WR31,WR,11.6,31.0,5300.0,ATL
darnellwashington,1218658.0,40973068.0,TE,PIT,TE33,TE,5.3,33.0,2700.0,PIT
darrenwaller,600191.0,40972244.0,TE,MIA,TE43,TE,3.9,43.0,3900.0,MIA
davanteadams,611417.0,40972263.0,WR,LAR,WR7,WR,17.3,7.0,7500.0,LAR
davidmartinrobinson,1124199.0,40972759.0,TE,TEN,TE96,TE,0.6,96.0,2500.0,TEN
davidmoore,1049915.0,40972592.0,68.0,,,WR,,,3000.0,CAR
davidnjoku,832098.0,40972357.0,TE,CLE,TE32,TE,5.8,32.0,2900.0,CLE
davidsills,866973.0,40972412.0,WR,ATL,WR80,WR,5.8,80.0,3500.0,ATL
davisallen,1161664.0,40972836.0,TE,LAR,TE38,TE,4.9,38.0,2500.0,LAR
davismills,1060311.0,40972623.0,QB,HOU,QB35,QB,0.5,35.0,4500.0,HOU
dawsonknox,884083.0,40972457.0,TE,BUF,TE31,TE,6.3,31.0,3000.0,BUF
deandrecarter,612512.0,40972265.0,68.0,,,WR,,,3000.0,CLE
deebosamuel,835749.0,40972367.0,WR,WAS,WR30,WR,11.6,30.0,5700.0,WAS
deeeskridge,926280.0,40972527.0,WR,MIA,WR153,WR,0.0,153.0,3000.0,MIA
deejaydallas,976309.0,40972566.0,67.0,,,RB,,,4000.0,CAR
demarcusrobinson,727279.0,40972285.0,WR,SF,WR104,WR,3.3,104.0,3000.0,SF
demariodouglas,1175693.0,40972938.0,WR,NE,WR72,WR,6.3,72.0,3700.0,NE
denericprince,1128998.0,40972792.0,67.0,,,RB,,,4000.0,NE
dennishouston,1058076.0,40972608.0,68.0,,,WR,,,3000.0,TB
deriusdavis,1113477.0,40972703.0,WR,LAC,WR130,WR,1.2,130.0,3000.0,LAC
dernestjohnson,839043.0,40972392.0,RB,NE,RB99,RB,0.4,99.0,4000.0,NE
deshaunwatson,828743.0,40972349.0,66.0,,,QB,,,4000.0,CLE
deucevaughn,1228925.0,40973101.0,67.0,,,RB,,,4000.0,DEN
devaughnvele,1164788.0,40972868.0,WR,NO,WR68,WR,6.6,68.0,3500.0,NO
deventhompkins,1130833.0,40972814.0,WR,ATL,WR163,WR,0.0,163.0,3000.0,ATL
devinculp,1107536.0,40972668.0,TE,TB,TE93,TE,0.7,93.0,2500.0,TB
devinneal,1293066.0,40973224.0,RB,NO,RB27,RB,11.0,27.0,5000.0,NO
devinsingletary,916466.0,40972499.0,RB,NYG,RB43,RB,7.1,43.0,4600.0,NYG
devonachane,1231820.0,40973131.0,RB,MIA,RB1,RB,22.5,1.0,8300.0,MIA
dillongabriel,1165333.0,40972883.0,QB,CLE,QB60,QB,0.2,60.0,4200.0,CLE
djgiddens,1303569.0,40973226.0,67.0,,,RB,,,4000.0,IND
djmontgomery,1063397.0,40972635.0,68.0,,,WR,,,3000.0,IND
djturner,923814.0,40972521.0,68.0,,,WR,,,3000.0,LV
djuiagalelei,1213928.0,40973015.0,66.0,,,QB,,,4000.0,LAC
dkmetcalf,945633.0,40972541.0,WR,PIT,WR27,WR,12.2,27.0,5600.0,PIT
dolphins,345.0,40972193.0,DST,MIA,DST9,DST,7.2,9.0,3300.0,MIA
donaldparham,875649.0,40972423.0,69.0,,,TE,,,2500.0,PIT
donovanedwards,1287566.0,40973193.0,67.0,,,RB,,,4000.0,WAS
dontaefleming,1222139.0,40973074.0,68.0,,,WR,,,3000.0,MIN
dontethornton,1286164.0,40973173.0,WR,LV,WR106,WR,3.0,106.0,3000.0,LV
drakelondon,1178741.0,40972958.0,68.0,,,WR,,,7300.0,ATL
drakemaye,1286803.0,40973188.0,QB,NE,QB5,QB,20.4,5.0,6800.0,NE
drewlock,882345.0,40972446.0,66.0,,,QB,,,4000.0,SEA
drewogletree,1271740.0,40973148.0,TE,IND,TE78,TE,1.4,78.0,2500.0,IND
dyamibrown,1107878.0,40972673.0,68.0,,,WR,,,3000.0,JAX
dylandrummond,1108534.0,40972680.0,WR,ATL,WR110,WR,2.7,110.0,3000.0,ATL
dylanlaube,1122182.0,40972737.0,RB,LV,RB83,RB,0.9,83.0,4000.0,LV
dylansampson,1399910.0,40973307.0,RB,CLE,RB53,RB,5.1,53.0,4700.0,CLE
eastonstick,831007.0,40972356.0,66.0,,,QB,,,4000.0,ATL
eftonchism,1216288.0,40973058.0,68.0,,,WR,,,3000.0,NE
elicayomanor,1395319.0,40973299.0,WR,TEN,WR83,WR,5.6,83.0,3700.0,TEN
elijaharroyo,1286840.0,40973189.0,TE,SEA,TE42,TE,3.9,42.0,2500.0,SEA
elijahhiggins,1161853.0,40972843.0,TE,ARI,TE47,TE,3.3,47.0,2500.0,ARI
elijahmoore,1128783.0,40972790.0,68.0,,,WR,,,3000.0,BUF
elipancol,1163445.0,40972854.0,68.0,,,WR,,,3000.0,IND
emaridemercado,1116817.0,40972712.0,67.0,,,RB,,,4400.0,ARI
emekaegbuka,1287825.0,40973206.0,WR,TB,WR11,WR,15.1,11.0,6500.0,TB
emoryjones,1108996.0,40972684.0,66.0,,,QB,,,4000.0,ATL
ericgray,1161798.0,40972840.0,RB,NYG,RB98,RB,0.4,98.0,4000.0,NYG
ericsaubert,694931.0,40972275.0,69.0,,,TE,,,2500.0,SEA
ers,359.0,40972202.0,71.0,,,DST,,,3600.0,SF
evandeckers,1120499.0,40972718.0,69.0,,,TE,,,2500.0,TB
evanengram,749185.0,40972316.0,TE,DEN,TE23,TE,7.4,23.0,3300.0,DEN
evanhull,1173266.0,40972929.0,RB,NO,RB103,RB,0.1,103.0,4000.0,NO
falcons,323.0,40972184.0,DST,ATL,DST7,DST,7.4,7.0,3500.0,ATL
feleipefranks,910377.0,40972469.0,69.0,,,TE,,,2500.0,ATL
fostermoreau,865573.0,40972400.0,TE,NO,TE56,TE,2.4,56.0,2500.0,NO
frankgore,1233127.0,40973139.0,67.0,,,RB,,,4000.0,BUF
gabedavis,976761.0,40972574.0,WR,BUF,WR85,WR,5.3,85.0,3300.0,BUF
gagelarvadain,1323007.0,40973250.0,WR,CLE,WR141,WR,0.5,141.0,3000.0,CLE
garrettgreene,1213897.0,40973013.0,68.0,,,WR,,,3000.0,TB
garrettwilson,1164889.0,40972874.0,68.0,,,WR,,,3000.0,NYJ
gavinbartholomew,1287258.0,40973191.0,69.0,,,TE,,,2500.0,MIN
genosmith,513856.0,40972225.0,QB,LV,QB30,QB,12.3,30.0,4500.0,LV
georgeholani,1180625.0,40972976.0,RB,SEA,RB105,RB,0.0,105.0,4000.0,SEA
georgekittle,733672.0,40972290.0,TE,SF,TE4,TE,13.1,4.0,5300.0,SF
giants,351.0,40972197.0,DST,NYG,DST27,DST,5.5,27.0,2200.0,NYG
grahammertz,1164951.0,40972878.0,66.0,,,QB,,,4000.0,HOU
gregdortch,910852.0,40972475.0,WR,ARI,WR61,WR,7.6,61.0,4600.0,ARI
gregdulcich,1128085.0,40972780.0,TE,MIA,TE39,TE,4.8,39.0,2500.0,MIA
gunnarhelm,1286438.0,40973184.0,TE,TEN,TE27,TE,7.1,27.0,2600.0,TEN
gunnerolszewski,1168410.0,40972897.0,WR,NYG,WR135,WR,0.7,135.0,3000.0,NYG
halpresley,1325513.0,40973256.0,68.0,,,WR,,,3000.0,TEN
haroldfannin,1394752.0,40973295.0,TE,CLE,TE16,TE,9.5,16.0,3400.0,CLE
harrisonbryant,916467.0,40972501.0,69.0,,,TE,,,2500.0,HOU
hassanhaskins,1130230.0,40972798.0,67.0,,,RB,,,4000.0,LAC
haydenrucci,1180294.0,40972964.0,TE,FA,TE100,TE,0.3,100.0,2500.0,MIA
hunterhenry,744425.0,40972308.0,TE,NE,TE9,TE,10.6,9.0,4400.0,NE
hunterlong,1060550.0,40972626.0,69.0,,,TE,,,2500.0,JAX
hunterrenfrow,841649.0,40972394.0,68.0,,,WR,,,3000.0,CAR
ianthomas,943093.0,40972533.0,TE,LV,TE63,TE,2.1,63.0,2500.0,LV
ihmirsmithmarsette,1059221.0,40972613.0,68.0,,,WR,,,3000.0,NYG
irvincharles,883312.0,40972449.0,68.0,,,WR,,,3000.0,NYJ
isaacguerendo,1126338.0,40972776.0,RB,SF,RB96,RB,0.5,96.0,4000.0,SF
isaiahbond,1398503.0,40973301.0,WR,CLE,WR97,WR,3.7,97.0,3000.0,CLE
isaiahdavis,1271609.0,40973144.0,RB,NYJ,RB56,RB,4.9,56.0,4500.0,NYJ
isaiahhodgins,975387.0,40972559.0,WR,NYG,WR65,WR,6.9,65.0,3500.0,NYG
isaiahwilliams,1176432.0,40972944.0,WR,NYJ,WR117,WR,2.3,117.0,3000.0,NYJ
jackbech,1286046.0,40973165.0,WR,LV,WR118,WR,2.3,118.0,3000.0,LV
jacksonhawes,1182649.0,40972984.0,TE,BUF,TE50,TE,2.6,50.0,2500.0,BUF
jackstoll,911985.0,40972486.0,TE,NO,TE85,TE,1.0,85.0,2500.0,NO
jackwestover,1121863.0,40972727.0,TE,NE,TE104,RB,0.0,104.0,4000.0,NE
jacobcowing,1181861.0,40972980.0,68.0,,,WR,,,3000.0,SF
jacobybrissett,607047.0,40972259.0,QB,ARI,QB12,QB,17.5,12.0,5800.0,ARI
jacobyjones,1380476.0,40973277.0,68.0,,,WR,,,3000.0,WAS
jacoreybrooks,1290100.0,40973220.0,68.0,,,WR,,,3000.0,WAS
jacorycroskeymerritt,1191186.0,40972992.0,RB,WAS,RB51,RB,5.5,51.0,4800.0,WAS
jadensmith,1181832.0,40972978.0,68.0,,,WR,,,3000.0,TB
jaguars,365.0,40972207.0,DST,JAC,DST5,DST,7.8,5.0,3700.0,JAX
jakebobo,1121050.0,40972722.0,WR,SEA,WR150,WR,0.0,150.0,3000.0,SEA
jakehaener,1049254.0,40972585.0,66.0,,,QB,,,4000.0,NO
jaketonges,1068872.0,40972646.0,TE,SF,TE82,TE,1.1,82.0,2500.0,SF
jakobimeyers,880151.0,40972434.0,WR,JAC,WR33,WR,11.1,33.0,5700.0,JAX
jakobjohnson,820601.0,40972330.0,RB,HOU,RB102,TE,0.1,102.0,2500.0,HOU
jaleelmclaughlin,1271738.0,40973146.0,RB,DEN,RB50,RB,5.7,50.0,4400.0,DEN
jalenbrooks,1223301.0,40973078.0,68.0,,,WR,,,3000.0,ARI
jalencoker,1218753.0,40973070.0,WR,CAR,WR67,WR,6.6,67.0,3400.0,CAR
jalenmcmillan,1213726.0,40973000.0,68.0,,,WR,,,4000.0,TB
jalenmilroe,1290102.0,40973222.0,QB,SEA,QB48,QB,0.4,48.0,4000.0,SEA
jalennailor,1126817.0,40972778.0,WR,MIN,WR90,WR,4.2,90.0,3200.0,MIN
jalinconyers,1229218.0,40973107.0,69.0,,,TE,,,2500.0,MIA
jalinhyatt,1232892.0,40973137.0,WR,NYG,WR132,WR,1.0,132.0,3000.0,NYG
jalynnpolk,1213881.0,40973011.0,68.0,,,WR,,,3000.0,NO
jamaalpritchett,1382993.0,40973287.0,68.0,,,WR,,,3000.0,NYJ
jamalagnew,752646.0,40972322.0,WR,ATL,WR159,WR,0.0,159.0,3000.0,ATL
jamarithrash,1178628.0,40972956.0,68.0,,,WR,,,3000.0,CLE
jameiswinston,691536.0,40972272.0,QB,NYG,QB34,QB,0.5,34.0,5200.0,NYG
jamesconner,742390.0,40972304.0,67.0,,,RB,,,4000.0,ARI
jamescook,1131012.0,40972817.0,RB,BUF,RB7,RB,17.0,7.0,7600.0,BUF
jamesmitchell,1123712.0,40972757.0,69.0,,,TE,,,2500.0,CAR
jamesproche,877913.0,40972427.0,WR,TEN,WR120,WR,2.0,120.0,3000.0,TEN
jamycalhasty,886641.0,40972467.0,67.0,,,RB,,,4000.0,MIA
jaquaejackson,1462491.0,40973315.0,68.0,,,WR,,,3000.0,LAC
jaquindenjackson,1228243.0,40973090.0,67.0,,,RB,,,4000.0,JAX
jaredwayne,1176733.0,40972950.0,68.0,,,WR,,,3000.0,HOU
jaretpatterson,1108937.0,40972682.0,RB,LAC,RB92,RB,0.5,92.0,4000.0,LAC
jarquezhunter,1319185.0,40973238.0,67.0,,,RB,,,4000.0,LAR
jarrettstidham,865868.0,40972406.0,QB,DEN,QB52,QB,0.4,52.0,4000.0,DEN
jaseemreed,1322612.0,40973248.0,68.0,,,WR,,,3000.0,CAR
jatavionsanders,1326628.0,40973262.0,TE,CAR,TE36,TE,5.0,36.0,2500.0,CAR
jauanjennings,867009.0,40972414.0,WR,SF,WR37,WR,10.0,37.0,4700.0,SF
jawharjordan,1164137.0,40972858.0,67.0,,,RB,,,4000.0,HOU
jaxonsmithnjigba,1214087.0,40973017.0,WR,SEA,WR1,WR,21.1,1.0,9500.0,SEA
jaxsondart,1286260.0,40973181.0,QB,NYG,QB11,QB,17.7,11.0,5500.0,NYG
jaydendaniels,1161228.0,40972831.0,66.0,,,QB,,,6200.0,WAS
jaydenhiggins,1274492.0,40973151.0,WR,HOU,WR45,WR,9.3,45.0,3900.0,HOU
jaylenwaddle,1125749.0,40972772.0,WR,MIA,WR9,WR,15.8,9.0,6800.0,MIA
jaylenwarren,1176443.0,40972946.0,RB,PIT,RB19,RB,13.5,19.0,6300.0,PIT
jaylenwright,1286513.0,40973186.0,RB,MIA,RB79,RB,0.9,79.0,4000.0,MIA
jaylinlane,1214689.0,40973035.0,WR,WAS,WR109,WR,2.8,109.0,3500.0,WAS
jaylinnoel,1286370.0,40973182.0,WR,HOU,WR86,WR,5.0,86.0,3000.0,HOU
jeffdriskel,592538.0,40972239.0,66.0,,,QB,,,4000.0,ARI
jeffwilson,834195.0,40972363.0,67.0,,,RB,,,4000.0,MIA
jelaniwoods,975503.0,40972561.0,69.0,,,TE,,,2500.0,NYJ
jeremiahwebb,1183008.0,40972988.0,68.0,,,WR,,,3000.0,NE
jeremymcnichols,837594.0,40972376.0,RB,WAS,RB61,RB,4.2,61.0,4000.0,WAS
jeremyruckert,1122596.0,40972743.0,TE,NYJ,TE54,TE,2.5,54.0,2500.0,NYJ
jermarjefferson,1128527.0,40972786.0,RB,ARI,RB89,RB,0.7,89.0,4000.0,ARI
jeromeford,1125737.0,40972770.0,RB,CLE,RB66,RB,2.8,66.0,4000.0,CLE
jerryjeudy,973935.0,40972549.0,WR,CLE,WR57,WR,8.4,57.0,4100.0,CLE
jeshaunjones,1106382.0,40972655.0,68.0,,,WR,,,3000.0,MIN
jets,352.0,40972198.0,DST,NYJ,DST23,DST,5.8,23.0,2400.0,NYJ
jhaquanjackson,1169424.0,40972906.0,68.0,,,WR,,,3000.0,NO
