player_name,player_team_id,player_position_id,rank_ecr,pos_rank
evanhull,IND,RB,69,RB69
willshipley,PHI,RB,70,RB70
audricestime,DEN,RB,71,RB71
samajeperine,DEN,RB,72,RB72
dylanlaube,LV,RB,73,RB73
treysermon,IND,RB,74,RB74
ericgray,NYG,RB,75,RB75
isaacguerendo,SF,RB,76,RB76
braelonallen,NYJ,RB,77,RB77
d'ernestjohnson,JAC,RB,78,RB78
chrisrodriguezjr.,WAS,RB,79,RB79
isaiahdavis,NYJ,RB,80,RB80
deucevaughn,DAL,RB,81,RB81
pierrestrongjr.,CLE,RB,82,RB82
deejaydallas,ARI,RB,83,RB83
roycefreeman,DAL,RB,84,RB84
ronnierivers,LAR,RB,85,RB85
jawharjordan,HOU,RB,86,RB86
israelabanikanda,NYJ,RB,87,RB87
kendallmilton,PHI,RB,88,RB88
chaseedmonds,TB,RB,89,RB89
tyjohnson,BUF,RB,90,RB90
emanuelwilson,GB,RB,91,RB91
emaridemercado,ARI,RB,92,RB92
blakewatson,DEN,RB,93,RB93
michaelcarter,ARI,RB,94,RB94
rasheenali,BAL,RB,95,RB95
codyschrader,SF,RB,96,RB96
jeffwilsonjr.,MIA,RB,97,RB97
jordanmason,SF,RB,98,RB98
cordarrellepatterson,PIT,RB,99,RB99
tyreekhill,MIA,WR,1,WR1
amon-rast.brown,DET,WR,2,WR2
ja'marrchase,CIN,WR,3,WR3
justinjefferson,MIN,WR,4,WR4
ceedeelamb,DAL,WR,5,WR5
a.j.brown,PHI,WR,6,WR6
pukanacua,LAR,WR,7,WR7
garrettwilson,NYJ,WR,8,WR8
davanteadams,LV,WR,9,WR9
mikeevans,TB,WR,10,WR10
amaricooper,CLE,WR,11,WR11
michaelpittmanjr.,IND,WR,12,WR12
marvinharrisonjr.,ARI,WR,13,WR13
jaylenwaddle,MIA,WR,14,WR14
chrisolave,NO,WR,15,WR15
drakelondon,ATL,WR,16,WR16
brandonaiyuk,SF,WR,17,WR17
maliknabers,NYG,WR,18,WR18
deebosamuelsr.,SF,WR,19,WR19
nicocollins,HOU,WR,20,WR20
stefondiggs,HOU,WR,21,WR21
dkmetcalf,SEA,WR,22,WR22
zayflowers,BAL,WR,23,WR23
djmoore,CHI,WR,24,WR24
devontasmith,PHI,WR,25,WR25
georgepickens,PIT,WR,26,WR26
christiankirk,JAC,WR,27,WR27
terrymclaurin,WAS,WR,28,WR28
cooperkupp,LAR,WR,29,WR29
chrisgodwin,TB,WR,30,WR30
keenanallen,CHI,WR,31,WR31
diontaejohnson,CAR,WR,32,WR32
tankdell,HOU,WR,33,WR33
xavierworthy,KC,WR,34,WR34
teehiggins,CIN,WR,35,WR35
calvinridley,TEN,WR,36,WR36
hollywoodbrown,KC,WR,37,WR37
deandrehopkins,TEN,WR,38,WR38
christianwatson,GB,WR,39,WR39
jaydenreed,GB,WR,40,WR40
romeodunze,CHI,WR,41,WR41
courtlandsutton,DEN,WR,42,WR42
tylerlockett,SEA,WR,43,WR43
jordanaddison,MIN,WR,44,WR44
laddmcconkey,LAC,WR,45,WR45
jakobimeyers,LV,WR,46,WR46
mikewilliams,NYJ,WR,47,WR47
jaxonsmith-njigba,SEA,WR,48,WR48
keoncoleman,BUF,WR,49,WR49
rasheerice,KC,WR,50,WR50
curtissamuel,BUF,WR,51,WR51
joshuapalmer,LAC,WR,52,WR52
jahandotson,WAS,WR,53,WR53
jamesonwilliams,DET,WR,54,WR54
romeodoubs,GB,WR,55,WR55
joshdowns,IND,WR,56,WR56
rashidshaheed,NO,WR,57,WR57
khalilshakir,BUF,WR,58,WR58
gabedavis,JAC,WR,59,WR59
brandincooks,DAL,WR,60,WR60
brianthomasjr.,JAC,WR,61,WR61
marvinmimsjr.,DEN,WR,62,WR62
jerryjeudy,CLE,WR,63,WR63
darnellmooney,ATL,WR,64,WR64
demariodouglas,NE,WR,65,WR65
troyfranklin,DEN,WR,66,WR66
xavierlegette,CAR,WR,67,WR67
ja'lynnpolk,NE,WR,68,WR68
demarcusrobinson,LAR,WR,69,WR69
jermaineburton,CIN,WR,70,WR70
dontayvionwicks,GB,WR,71,WR71
javonbaker,NE,WR,72,WR72
rashodbateman,BAL,WR,73,WR73
zayjones,ARI,WR,74,WR74
adamthielen,CAR,WR,75,WR75
odellbeckhamjr.,MIA,WR,76,WR76
romanwilson,PIT,WR,77,WR77
michaelwilson,ARI,WR,78,WR78
tylerboyd,TEN,WR,79,WR79
rickypearsall,SF,WR,80,WR80
adonaimitchell,IND,WR,81,WR81
elijahmoore,CLE,WR,82,WR82
wan'dalerobinson,NYG,WR,83,WR83
quentinjohnston,LAC,WR,84,WR84
jalinhyatt,NYG,WR,85,WR85
lukemccaffrey,WAS,WR,86,WR86
jalenmcmillan,TB,WR,87,WR87
dariusslayton,NYG,WR,88,WR88
kendrickbourne,NE,WR,89,WR89
nelsonagholor,BAL,WR,90,WR90
vanjefferson,PIT,WR,91,WR91
malachicorley,NYJ,WR,92,WR92
djcharkjr.,LAC,WR,93,WR93
joshreynolds,DEN,WR,94,WR94
gregdortch,ARI,WR,95,WR95
rondalemoore,ATL,WR,96,WR96
malikwashington,MIA,WR,97,WR97
jauanjennings,SF,WR,98,WR98
jacobcowing,SF,WR,99,WR99
devontezwalker,BAL,WR,100,WR100
devanteparker,FA,WR,101,WR101
jalentolbert,DAL,WR,102,WR102
k.j.osborn,NE,WR,103,WR103
kadariustoney,KC,WR,104,WR104
tretucker,LV,WR,105,WR105
ainiassmith,PHI,WR,106,WR106
alecpierce,IND,WR,107,WR107
cedrictillman,CLE,WR,108,WR108
allenlazard,NYJ,WR,109,WR109
treypalmer,TB,WR,110,WR110
jonathanmingo,CAR,WR,111,WR111
johnnywilson,PHI,WR,112,WR112
tylerscott,CHI,WR,113,WR113
jamarithrash,CLE,WR,114,WR114
andreiiosivas,CIN,WR,115,WR115
markandrews,BAL,TE,1,TE1
samlaporta,DET,TE,2,TE2
traviskelce,KC,TE,3,TE3
daltonkincaid,BUF,TE,4,TE4
evanengram,JAC,TE,5,TE5
treymcbride,ARI,TE,6,TE6
georgekittle,SF,TE,7,TE7
davidnjoku,CLE,TE,8,TE8
kylepitts,ATL,TE,9,TE9
jakeferguson,DAL,TE,10,TE10
dallasgoedert,PHI,TE,11,TE11
brockbowers,LV,TE,12,TE12
patfreiermuth,PIT,TE,13,TE13
daltonschultz,HOU,TE,14,TE14
juwanjohnson,NO,TE,15,TE15
hunterhenry,NE,TE,16,TE16
colekmet,CHI,TE,17,TE17
cadeotton,TB,TE,18,TE18
noahfant,SEA,TE,19,TE19
tuckerkraft,GB,TE,20,TE20
lukemusgrave,GB,TE,21,TE21
tylerconklin,NYJ,TE,22,TE22
zachertz,WAS,TE,23,TE23
colbyparkinson,LAR,TE,24,TE24
taysomhill,NO,TE,25,TE25
jonnusmith,MIA,TE,26,TE26
chigoziemokonkwo,TEN,TE,27,TE27
bensinnott,WAS,TE,28,TE28
gregdulcich,DEN,TE,29,TE29
michaelmayer,LV,TE,30,TE30
isaiahlikely,BAL,TE,31,TE31
ja'tavionsanders,CAR,TE,32,TE32
jelaniwoods,IND,TE,33,TE33
geraldeverett,CHI,TE,34,TE34
dawsonknox,BUF,TE,35,TE35
sanfrancisco49ers,SF,DST,1,DST1
newyorkjets,NYJ,DST,2,DST2
pittsburghsteelers,PIT,DST,3,DST3
dallascowboys,DAL,DST,4,DST4
cincinnatibengals,CIN,DST,5,DST5
seattleseahawks,SEA,DST,6,DST6
neworleanssaints,NO,DST,7,DST7
chicagobears,CHI,DST,8,DST8
clevelandbrowns,CLE,DST,9,DST9
atlantafalcons,ATL,DST,10,DST10
tampabaybuccaneers,TB,DST,11,DST11
losangeleschargers,LAC,DST,12,DST12
minnesotavikings,MIN,DST,13,DST13
philadelphiaeagles,PHI,DST,14,DST14
denverbroncos,DEN,DST,15,DST15
kansascitychiefs,KC,DST,16,DST16
baltimoreravens,BAL,DST,17,DST17
buffalobills,BUF,DST,18,DST18
newyorkgiants,NYG,DST,19,DST19
tennesseetitans,TEN,DST,20,DST20
detroitlions,DET,DST,21,DST21
lasvegasraiders,LV,DST,22,DST22
miamidolphins,MIA,DST,23,DST23
carolinapanthers,CAR,DST,24,DST24
jacksonvillejaguars,JAC,DST,25,DST25
washingtoncommanders,WAS,DST,26,DST26
houstontexans,HOU,DST,27,DST27
greenbaypackers,GB,DST,28,DST28
indianapoliscolts,IND,DST,29,DST29
losangelesrams,LAR,DST,30,DST30
newenglandpatriots,NE,DST,31,DST31
arizonacardinals,ARI,DST,32,DST32
